股票代码,股票简称,最新价,最新涨跌幅,涨停[20260330],feng_dan_jin,ltsz,涨停封板时长[20260330],p_open,p_close,p_high,p_low,p_low,zt_first_time,最终涨停时间[20260330],涨停明细数据[20260330],连续涨停天数[20260330],涨停原因类别[20260330],feng_dan_liang,feng_dan_liang,feng_dan_liang,涨停开板次数[20260330],几天几板[20260330],涨停类型[20260330],总市值[20260330],所属同花顺行业,market_code,code,fenglu_ratio,date
601869.SH,长飞光纤,353.9,-4.485587822519704,涨停,323847923.74,122588205950.66,1.9944703782000002,269.28,301.69,301.69,269.28,26/5521, 13:00:20, 13:00:20,"[{""code"":""601869.SH"",""time"":1774846820481,""openTime"":null,""duration"":7179519,""updatedTime"":1774854000000,""firstVol"":3075500.0,""highestVol"":3565500.0,""firstVolDivLTGB"":0.007568816166323907,""firstVolDivVol"":0.21551869122727155,""highestVolDivLTGB"":0.00877470786572196,""highestVolDivVol"":0.24909660127581054}]",1,四季度净利大增+光纤涨价+空芯光纤+算力网络,1073446,7.195991118486898,0.2641754328881721,0,5天3板,缩量涨停,195989932206.83,通信-通信设备-通信线缆及配套,17,601869,0.2641754328881721,20260330
603061.SH,金海通,254.85,0.8867424092474488,涨停,47482956.0,17080200000.0,2.1388919310000003,255,284.67,284.67,252.46,30/5521, 11:21:29, 11:21:29,"[{""code"":""603061.SH"",""time"":1774840889643,""openTime"":null,""duration"":7699395,""updatedTime"":1774854000000,""firstVol"":1386302.0,""highestVol"":1429702.0,""firstVolDivLTGB"":0.023105033333333334,""firstVolDivVol"":0.6819003265128643,""highestVolDivLTGB"":0.023828366666666666,""highestVolDivVol"":0.7021774001054959}]",1,先进封装+封测设备+年报增长,166800,6.847015185760179,0.27799999999999997,0,首板涨停,放量涨停,17080200000.0,电子-半导体-半导体设备,17,603061,0.27799999999999997,20260330
002850.SZ,科达利,190.45,-0.08394103142543675,涨停,129168222.03999999,35296251201.64,3.9508982688,172.33,177.32,177.32,172.33,67/5521, 09:32:46, 09:32:46,"[{""code"":""002850.SZ"",""time"":1774834366942,""openTime"":null,""duration"":14222096,""updatedTime"":1774854000000,""firstVol"":5793400.0,""highestVol"":6074257.0,""firstVolDivLTGB"":0.02910466842870464,""firstVolDivVol"":1.8116218477829882,""highestVolDivLTGB"":0.03051562742702699,""highestVolDivVol"":1.7350801276603889}]",1,年报增长+大圆柱电池+人形机器人,728447,8.931287835828902,0.3659545069024167,0,首板涨停,放量涨停,48891715169.44,电力设备-电池-锂电池,33,002850,0.3659545069024167,20260330
001400.SZ,江顺科技,204.67,-0.6456310679611711,涨停,74778729.0,2461500000.0,2.6076277602,146.55,164.1,164.1,146,94/5521, 10:53:22, 10:53:22,"[{""code"":""001400.SZ"",""time"":1774839202329,""openTime"":null,""duration"":9386709,""updatedTime"":1774854000000,""firstVol"":312400.0,""highestVol"":1266190.0,""firstVolDivLTGB"":0.020826666666666667,""firstVolDivVol"":0.13558739419170338,""highestVolDivLTGB"":0.08441266666666666,""highestVolDivVol"":0.5241158527877662}]",1,液冷服务器+商业航天+3D打印+铝挤压模具,455690,17.67295892624238,3.0379333333333336,0,首板涨停,放量涨停,9846000000.0,机械设备-专用设备-其他专用设备,33,001400,3.0379333333333336,20260330
001270.SZ,*ST铖昌,140.35,4.997381611431142,涨停,55946746.8,22179417153.39,2.8988079972,101,108.99,108.99,100.8,185/5521, 10:30:24, 10:37:09,"[{""code"":""001270.SZ"",""time"":1774837824162,""openTime"":1774837839162,""duration"":15000,""updatedTime"":1774837839162,""firstVol"":418000.0,""highestVol"":418000.0,""firstVolDivLTGB"":0.002054058485167936,""firstVolDivVol"":0.09836451347217319,""highestVolDivLTGB"":0.002054058485167936,""highestVolDivVol"":0.09836451347217319},{""code"":""001270.SZ"",""time"":1774837854162,""openTime"":1774837899163,""duration"":45001,""updatedTime"":1774837899163,""firstVol"":282700.0,""highestVol"":504100.0,""firstVolDivLTGB"":0.0013891921860214726,""firstVolDivVol"":0.06447713536321131,""highestVolDivLTGB"":0.002477155220988413,""highestVolDivVol"":0.1142669326321516},{""code"":""001270.SZ"",""time"":1774837929163,""openTime"":1774837944163,""duration"":15000,""updatedTime"":1774837944163,""firstVol"":14200.0,""highestVol"":14200.0,""firstVolDivLTGB"":6.977902030953275E-5,""firstVolDivVol"":0.0030714656514967986,""highestVolDivLTGB"":6.977902030953275E-5,""highestVolDivVol"":0.0030714656514967986},{""code"":""001270.SZ"",""time"":1774838229165,""openTime"":null,""duration"":10359873,""updatedTime"":1774854000000,""firstVol"":582300.0,""highestVol"":738000.0,""firstVolDivLTGB"":0.0028614312342423185,""firstVolDivVol"":0.11812796689252242,""highestVolDivLTGB"":0.003626543449889801,""highestVolDivVol"":0.14907886231415643}]",1,T/R芯片+商业航天+扭亏为盈+摘帽预期,513320,9.83714628471996,0.2522462444034462,3,3天2板,缩量涨停,22464463059.99,国防军工-军工电子-军工电子Ⅲ,33,001270,0.2522462444034462,20260330
002222.SZ,福晶科技,86.82,-0.19542476146683724,涨停,161772413.22,33678834305.16,2.3877073902,66.92,71.94,71.94,66.9,378/5521, 11:06:33, 11:06:33,"[{""code"":""002222.SZ"",""time"":1774839993979,""openTime"":null,""duration"":8595059,""updatedTime"":1774854000000,""firstVol"":2.294944E7,""highestVol"":2.4052348E7,""firstVolDivLTGB"":0.049021373443054406,""firstVolDivVol"":0.6375754583411226,""highestVolDivLTGB"":0.051377250751665514,""highestVolDivVol"":0.6589205447615}]",1,光通信+光学晶体+中科院,2248713,5.461436366704467,0.4803385169278692,0,首板涨停,放量涨停,33829785000.0,电子-光学光电子-光学元件,33,002222,0.4803385169278692,20260330
002432.SZ,九安医疗,73.5,-2.208621607237888,涨停,24476873.5,33099929103.5,1.5825493716,67.95,75.5,75.5,65.7,397/5521, 13:23:35, 14:22:16,"[{""code"":""002432.SZ"",""time"":1774848215574,""openTime"":1774848260574,""duration"":45000,""updatedTime"":1774848260574,""firstVol"":1309102.0,""highestVol"":2332902.0,""firstVolDivLTGB"":0.0029860245528305048,""firstVolDivVol"":0.026770956605533778,""highestVolDivLTGB"":0.005321283331128812,""highestVolDivVol"":0.047404968806199876},{""code"":""002432.SZ"",""time"":1774848290574,""openTime"":1774848795952,""duration"":505378,""updatedTime"":1774848795952,""firstVol"":5795523.0,""highestVol"":5840386.0,""firstVolDivLTGB"":0.01321942367706558,""firstVolDivVol"":0.11513568434746169,""highestVolDivLTGB"":0.013321754908332232,""highestVolDivVol"":0.11578189472834476},{""code"":""002432.SZ"",""time"":1774848825952,""openTime"":1774851708978,""duration"":2883026,""updatedTime"":1774851708978,""firstVol"":400.0,""highestVol"":3271800.0,""firstVolDivLTGB"":9.123886611831637E-7,""firstVolDivVol"":7.538139973007428E-6,""highestVolDivLTGB"":0.007462883054147687,""highestVolDivVol"":0.06153112642244889},{""code"":""002432.SZ"",""time"":1774851736682,""openTime"":null,""duration"":2263318,""updatedTime"":1774854000000,""firstVol"":452220.0,""highestVol"":1605220.0,""firstVolDivLTGB"":0.0010315010009006257,""firstVolDivVol"":0.008052051773079712,""highestVolDivLTGB"":0.003661461316761095,""highestVolDivVol"":0.02857031846092836}]",2,AI投资+AI医疗+CGM上市,324197,0.5577507373405669,0.07394841669739953,3,2天2板,放量涨停,35105672145.0,医药生物-医疗器械-医疗设备,33,002432,0.07394841669739953,20260330
603256.SH,宏和科技,119.1,-1.2601558613828636,涨停,68745813.0,63463541850.0,2.378533323,65.4,72.14,72.14,64.54,418/5521, 09:47:38, 11:12:49,"[{""code"":""603256.SH"",""time"":1774835258277,""openTime"":1774835387647,""duration"":129370,""updatedTime"":1774835387647,""firstVol"":9228900.0,""highestVol"":9506900.0,""firstVolDivLTGB"":0.010490634884097632,""firstVolDivVol"":0.9852883085825317,""highestVolDivLTGB"":0.010806641829430136,""highestVolDivVol"":0.9931989134977016},{""code"":""603256.SH"",""time"":1774835432647,""openTime"":1774835462648,""duration"":30001,""updatedTime"":1774835462648,""firstVol"":6070700.0,""highestVol"":6070700.0,""firstVolDivLTGB"":0.0069006595792447094,""firstVolDivVol"":0.4586090714048288,""highestVolDivLTGB"":0.0069006595792447094,""highestVolDivVol"":0.4586090714048288},{""code"":""603256.SH"",""time"":1774835477672,""openTime"":1774835540279,""duration"":62607,""updatedTime"":1774835540279,""firstVol"":884500.0,""highestVol"":2910600.0,""firstVolDivLTGB"":0.0010054249753474799,""firstVolDivVol"":0.062404752497601176,""highestVolDivLTGB"":0.0033085245146934703,""highestVolDivVol"":0.20208289939595916},{""code"":""603256.SH"",""time"":1774840203980,""openTime"":1774840278982,""duration"":75002,""updatedTime"":1774840278982,""firstVol"":3329900.0,""highestVol"":4181600.0,""firstVolDivLTGB"":0.0037851493786428183,""firstVolDivVol"":0.13045897079276772,""highestVolDivLTGB"":0.004753290081303586,""highestVolDivVol"":0.16258101640351322},{""code"":""603256.SH"",""time"":1774840308983,""openTime"":1774840354063,""duration"":45080,""updatedTime"":1774840354063,""firstVol"":3657400.0,""highestVol"":3657400.0,""firstVolDivLTGB"":0.0041574237476945984,""firstVolDivVol"":0.13767273083163004,""highestVolDivLTGB"":0.0041574237476945984,""highestVolDivVol"":0.13767273083163004},{""code"":""603256.SH"",""time"":1774840369063,""openTime"":null,""duration"":8219975,""updatedTime"":1774854000000,""firstVol"":3610700.0,""highestVol"":4590200.0,""firstVolDivLTGB"":0.0041043391277412605,""firstVolDivVol"":0.13314723376637744,""highestVolDivLTGB"":0.005217752088004524,""highestVolDivVol"":0.16883121659843828}]",1,电子布+80亿产业园+PCB概念,952950,3.318723913304672,0.10832331602683785,5,首板涨停,放量涨停,65256866142.3,电子-电子化学品-电子化学品Ⅲ,17,603256,0.10832331602683785,20260330
688693.SH,锴威特,96.0,7.526881720430106,涨停,39578068.8,2135852328.6,3.833871963,54.9,54.9,54.9,50.81,613/5521, 09:30:00, 09:44:01,"[{""code"":""688693.SH"",""time"":1774834200000,""openTime"":1774834321939,""duration"":121939,""updatedTime"":1774834321939,""firstVol"":6258598.0,""highestVol"":6258598.0,""firstVolDivLTGB"":0.16087115462014157,""firstVolDivVol"":16.017008447921544,""highestVolDivLTGB"":0.16087115462014157,""highestVolDivVol"":16.017008447921544},{""code"":""688693.SH"",""time"":1774834863673,""openTime"":1774834994570,""duration"":130897,""updatedTime"":1774834994570,""firstVol"":2735415.0,""highestVol"":2951726.0,""firstVolDivLTGB"":0.07031117343137465,""firstVolDivVol"":0.4803779148895966,""highestVolDivLTGB"":0.07587123661597885,""highestVolDivVol"":0.5118827832221434},{""code"":""688693.SH"",""time"":1774835041039,""openTime"":null,""duration"":13547999,""updatedTime"":1774854000000,""firstVol"":2257704.0,""highestVol"":2609196.0,""firstVolDivLTGB"":0.05803207831378722,""firstVolDivVol"":0.35710586745870837,""highestVolDivLTGB"":0.067066837197445,""highestVolDivVol"":0.4053844811709247}]",1,拟收购晶艺半导体+SiC功率器件,720912,9.968679866754613,1.8530339513660326,2,首板涨停,放量涨停,4045263183.9,电子-半导体-分立器件,17,688693,1.8530339513660326,20260330
600487.SH,亨通光电,65.7,-2.4933214603739873,涨停,404739292.5,131673003581.25,2.0878464588,48.1,53.85,53.85,48.1,675/5521, 11:24:33, 11:24:33,"[{""code"":""600487.SH"",""time"":1774841073392,""openTime"":null,""duration"":7515646,""updatedTime"":1774854000000,""firstVol"":3.59941E7,""highestVol"":4.185802E7,""firstVolDivLTGB"":0.014720422807124359,""firstVolDivVol"":0.29817853713804027,""highestVolDivLTGB"":0.017118576440835236,""highestVolDivVol"":0.3376272228623901}]",1,光纤涨价+CPO+海缆,7516050,5.562965268431753,0.30738213718216884,0,首板涨停,缩量涨停,132815223039.45,通信-通信设备-通信线缆及配套,17,600487,0.30738213718216884,20260330
