股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260408],{(}涨停封单量[20260408]{*}100.0{)},自由流通股[20260408],fenglu_ratio,zt_first_time,涨停原因类别[20260408],涨停[20260408],涨停明细数据[20260408],zt_last_time,涨停封单额[20260408],涨停开板次数[20260408],自由流通市值[20260408],实际换手率[20260408],a股市值(不含限售股)[20260408],market_code,code,date
600654.SH,中安科,3.92,-3.4482758620689578,55024745,5502474500,1779876245,3.091492745890319, 09:41:54,算力中心+智慧安防+三季报暴增,涨停,"[{""code"":""600654.SH"",""time"":1775612514600,""openTime"":null,""duration"":13673474,""updatedTime"":1775631600000,""firstVol"":9.0910153E7,""highestVol"":1.4558075E8,""firstVolDivLTGB"":0.03922883603208378,""firstVolDivVol"":0.43896044818988633,""highestVolDivLTGB"":0.0628198631584943,""highestVolDivVol"":0.6760284060490439}]", 09:41:54,242108878.00000003,0,7831455478.0,14.74601218693157,10196700021.2,17,600654,20260408
002131.SZ,利欧股份,6.45,-1.8264840182648416,54873957,5487395700,5564401129,0.9861610571893046, 09:53:17,AI营销+液冷泵+扭亏为盈,涨停,"[{""code"":""002131.SZ"",""time"":1775613197111,""openTime"":null,""duration"":12990963,""updatedTime"":1775631600000,""firstVol"":4.1621998E8,""highestVol"":4.1621998E8,""firstVolDivLTGB"":0.071152073369962,""firstVolDivVol"":1.4237969288238332,""highestVolDivLTGB"":0.071152073369962,""highestVolDivVol"":1.4237969288238332}]", 09:53:17,436247958.15000004,0,44236988975.55,8.6488111270743,46505304543.9,33,002131,20260408
600666.SH,奥瑞德,5.24,-5.585585585585579,51464060,5146406000,2049971095,2.510477348950132, 09:31:41,算力租赁+扭亏为盈+蓝宝石,涨停,"[{""code"":""600666.SH"",""time"":1775611901571,""openTime"":null,""duration"":14286503,""updatedTime"":1775631600000,""firstVol"":7.13737E7,""highestVol"":1.6413988E8,""firstVolDivLTGB"":0.029496275825366444,""firstVolDivVol"":0.7394020901918119,""highestVolDivLTGB"":0.06783332199987599,""highestVolDivVol"":1.1747456552843982}]", 09:31:41,334516390.0,0,13324812117.5,8.629920706272202,15728394077.5,17,600666,20260408
300058.SZ,蓝色光标,17.12,-1.552616446233465,43781152,4378115200,3477930282,1.258827763931583, 10:31:25,AI应用+出海营销+业绩预增,涨停,"[{""code"":""300058.SZ"",""time"":1775615485302,""openTime"":null,""duration"":10702772,""updatedTime"":1775631600000,""firstVol"":2.2406287E8,""highestVol"":2.4142721E8,""firstVolDivLTGB"":0.06438533161531661,""firstVolDivVol"":0.4132385467800386,""highestVolDivLTGB"":0.06937504182112227,""highestVolDivVol"":0.4406937109909548}]", 10:31:25,714070589.1199999,0,56725042899.42,16.795380920174523,56725042899.42,33,300058,20260408
000727.SZ,冠捷科技,2.65,-0.3759398496240688,31274940,3127494000,2485362851,1.258365151286314, 09:51:29,AI显示+MicroLED+央企,涨停,"[{""code"":""000727.SZ"",""time"":1775613089918,""openTime"":null,""duration"":13098156,""updatedTime"":1775631600000,""firstVol"":3.242347E8,""highestVol"":3.242347E8,""firstVolDivLTGB"":0.07158183142707385,""firstVolDivVol"":2.5724154236375076,""highestVolDivLTGB"":0.07158183142707385,""highestVolDivVol"":2.5724154236375076}]", 09:51:29,88195330.8,0,7008723239.82,8.467321377855422,12773378883.6,33,000727,20260408
600126.SH,杭钢股份,8.74,-3.638368246968027,29169089,2916908900,1276818671,2.284513037168768, 09:30:00,算力租赁+国资云+扭亏+浙江国资,涨停,"[{""code"":""600126.SH"",""time"":1775611800000,""openTime"":null,""duration"":14388074,""updatedTime"":1775631600000,""firstVol"":1.4732263E8,""highestVol"":1.5894563E8,""firstVolDivLTGB"":0.043622855096147425,""firstVolDivVol"":9.274401811132684,""highestVolDivLTGB"":0.04706447465440892,""highestVolDivVol"":8.47029421585834}]", 09:30:00,271564218.59000003,0,11887181827.01,4.56930277768471,31441630362.73,17,600126,20260408
002217.SZ,合力泰,2.89,-5.8631921824104145,27900900,2790090000,5132777374,0.543582898049145, 10:09:43,算力租赁+电子纸+福建国资,涨停,"[{""code"":""002217.SZ"",""time"":1775614183509,""openTime"":1775614420697,""duration"":237188,""updatedTime"":1775614420697,""firstVol"":2.288187E8,""highestVol"":2.288187E8,""firstVolDivLTGB"":0.03143406593488792,""firstVolDivVol"":1.0668359104546503,""highestVolDivLTGB"":0.03143406593488792,""highestVolDivVol"":1.0668359104546503},{""code"":""002217.SZ"",""time"":1775615144669,""openTime"":null,""duration"":11043405,""updatedTime"":1775631600000,""firstVol"":5031000.0,""highestVol"":5.74087E7,""firstVolDivLTGB"":6.911357582156577E-4,""firstVolDivVol"":0.01532468315737819,""highestVolDivLTGB"":0.007886544504606487,""highestVolDivVol"":0.16808138122048408}]", 10:25:44,68636214.0,1,12626632340.04,7.276803059722964,17907133081.86,33,002217,20260408
002421.SZ,达实智能,2.9,3.9426523297490994,22356900,2235690000,1713423677,1.304808629652198, 09:47:57,AIoT平台+AI应用,涨停,"[{""code"":""002421.SZ"",""time"":1775612877622,""openTime"":null,""duration"":13310452,""updatedTime"":1775631600000,""firstVol"":1.716259E8,""highestVol"":1.716259E8,""firstVolDivLTGB"":0.08552675587932193,""firstVolDivVol"":5.140390555616323,""highestVolDivLTGB"":0.08552675587932193,""highestVolDivVol"":5.140390555616323}]", 09:47:57,61034337.0,0,4677646638.21,3.6638349780432033,5469219717.78,33,002421,20260408
002051.SZ,中工国际,10.12,0.09891196834816803,18902320,1890232000,449838396,4.202024586625105, 09:30:11,中东重建+一带一路+算力+央企,涨停,"[{""code"":""002051.SZ"",""time"":1775611811703,""openTime"":null,""duration"":14376371,""updatedTime"":1775631600000,""firstVol"":2.9994566E7,""highestVol"":3.6723434E7,""firstVolDivLTGB"":0.02424121206999463,""firstVolDivVol"":0.8590435612271358,""highestVolDivLTGB"":0.029679394312038095,""highestVolDivVol"":1.0189387236144658}]", 09:30:11,217943749.6,0,5186636705.88,9.503030506093125,14266503877.01,33,002051,20260408
600815.SH,厦工股份,4.41,-0.4514672686230152,16360180,1636018000,917092005,1.7839191608697973, 09:48:38,绿色装备+雅鲁藏布江水电+厦门国资,涨停,"[{""code"":""600815.SH"",""time"":1775612918720,""openTime"":null,""duration"":13269354,""updatedTime"":1775631600000,""firstVol"":8.8224E7,""highestVol"":8.8224E7,""firstVolDivLTGB"":0.04972903134223156,""firstVolDivVol"":2.0517590547787155,""highestVolDivLTGB"":0.04972903134223156,""highestVolDivVol"":2.0517590547787155}]", 09:48:38,63150294.8,0,3539975139.3,5.989521302172948,6848004692.8,17,600815,20260408
