股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260422],自由流通股[20260422],fenglu_ratio,zt_first_time,涨停原因类别[20260422],涨停[20260422],涨停明细数据[20260422],zt_last_time,涨停封单额[20260422],涨停开板次数[20260422],自由流通市值[20260422],实际换手率[20260422],a股市值(不含限售股)[20260422],market_code,code,date
001234.SZ,泰慕士,31.2,3.4825870646766193,8621700,30085500,0.28657326619135465, 13:54:04,服装贴牌+回购注销+广州国资入主,涨停,"[{""code"":""001234.SZ"",""time"":1776837244306,""openTime"":1776837379308,""duration"":135002,""updatedTime"":1776837379308,""firstVol"":9197500.0,""highestVol"":9197500.0,""firstVolDivLTGB"":0.10053505746812337,""firstVolDivVol"":2.6919249568296895,""highestVolDivLTGB"":0.10053505746812337,""highestVolDivVol"":2.6919249568296895},{""code"":""001234.SZ"",""time"":1776837409308,""openTime"":null,""duration"":3790692,""updatedTime"":1776841200000,""firstVol"":4485900.0,""highestVol"":9516700.0,""firstVolDivLTGB"":0.049033999923485144,""firstVolDivVol"":0.8331599866275399,""highestVolDivLTGB"":0.1040241349722087,""highestVolDivVol"":1.4056125840041356}]", 13:56:49,254857452.0,1,889327380.0,22.577653686992072,2704311380.0,33,001234,20260422
300067.SZ,安诺其,6.85,-3.7921348314606806,96500055,759154020,0.1271152525807609, 09:30:00,拟收购烽云信息+算力服务+复牌,涨停,"[{""code"":""300067.SZ"",""time"":1776821400000,""openTime"":null,""duration"":14379106,""updatedTime"":1776841200000,""firstVol"":2.6529714E8,""highestVol"":2.6529714E8,""firstVolDivLTGB"":0.282988541962684,""firstVolDivVol"":43.15208827128886,""highestVolDivLTGB"":0.282988541962684,""highestVolDivVol"":43.15208827128886}]", 09:30:00,584790333.3,0,4600473361.2,2.3690377085798744,5679817900.8,33,300067,20260422
603903.SH,中持股份,12.24,3.553299492385786,8709320,152125636,0.05725083706470092, 10:37:51,芯长征入主+污水处理+PPP,涨停,"[{""code"":""603903.SH"",""time"":1776825471418,""openTime"":null,""duration"":10307688,""updatedTime"":1776841200000,""firstVol"":2.49875E7,""highestVol"":2.49875E7,""firstVolDivLTGB"":0.09786758143170274,""firstVolDivVol"":2.5090715677080806,""highestVolDivLTGB"":0.09786758143170274,""highestVolDivVol"":2.5090715677080806}]", 10:37:51,112350228.0,0,1962420704.4,8.369097631907353,3293621292.0,17,603903,20260422
605588.SH,冠石科技,56.84,-0.2807017543859589,1225001,25016228,0.048968253727140636, 11:04:51,光掩膜版+半导体产业链+显示器件,涨停,"[{""code"":""605588.SH"",""time"":1776827091483,""openTime"":null,""duration"":8687623,""updatedTime"":1776841200000,""firstVol"":4422600.0,""highestVol"":4422600.0,""firstVolDivLTGB"":0.060501047331871116,""firstVolDivVol"":2.4271327827017535,""highestVolDivLTGB"":0.060501047331871116,""highestVolDivVol"":2.4271327827017535}]", 11:04:51,76807562.7,0,1568517495.6,10.599315772145985,4583342474.7,17,605588,20260422
002360.SZ,ST同德,6.22,4.013377926421393,14025123,305505343,0.04590794669015003, 09:35:11,重整预期+PBAT项目+民爆,涨停,"[{""code"":""002360.SZ"",""time"":1776821711288,""openTime"":null,""duration"":14067818,""updatedTime"":1776841200000,""firstVol"":6.8985028E7,""highestVol"":6.8985028E7,""firstVolDivLTGB"":0.21062700995898812,""firstVolDivVol"":2.7012353119777703,""highestVolDivLTGB"":0.21062700995898812,""highestVolDivVol"":2.7012353119777703}]", 09:35:11,97053851.16,0,2114096973.56,11.60897241656425,2252596448.56,33,002360,20260422
600736.SH,苏州高新,8.15,-2.9761904761904763,22458773,647098013,0.034706910775199676, 09:31:11,商业航天+产业园运营+苏州+脑机接口,涨停,"[{""code"":""600736.SH"",""time"":1776821471285,""openTime"":1776821501285,""duration"":30000,""updatedTime"":1776821501285,""firstVol"":1.5329203E7,""highestVol"":1.5329203E7,""firstVolDivLTGB"":0.01331477238050942,""firstVolDivVol"":0.3413586249653641,""highestVolDivLTGB"":0.01331477238050942,""highestVolDivVol"":0.3413586249653641},{""code"":""600736.SH"",""time"":1776821937437,""openTime"":null,""duration"":13841669,""updatedTime"":1776841200000,""firstVol"":7.0057903E7,""highestVol"":7.8041703E7,""firstVolDivLTGB"":0.06085150231886211,""firstVolDivVol"":0.67030693006263,""highestVolDivLTGB"":0.06778614071666474,""highestVolDivVol"":0.736880960677674}]", 09:38:57,170911262.53,1,4924415878.93,18.608523373722676,8761339022.27,17,600736,20260422
002081.SZ,金螳螂,5.9,10.074626865671641,45974885,1338068052,0.0343591530574859, 09:30:00,商业航天产业配套+半导体洁净室+越南合作+EPC总包,涨停,"[{""code"":""002081.SZ"",""time"":1776821400000,""openTime"":null,""duration"":14379106,""updatedTime"":1776841200000,""firstVol"":5.7091204E7,""highestVol"":6.9598974E7,""firstVolDivLTGB"":0.02158780097452962,""firstVolDivVol"":2.244901518966875,""highestVolDivLTGB"":0.02631734301388112,""highestVolDivVol"":1.5973096044291661}]", 09:30:00,227115931.9,0,6610056176.88,4.583554245116974,13062562218.16,33,002081,20260422
002194.SZ,武汉凡谷,11.03,1.0999083409715784,12521945,397563122,0.03149674682351448, 09:30:00,6G预研+商业航天+射频器件龙头,涨停,"[{""code"":""002194.SZ"",""time"":1776821400000,""openTime"":null,""duration"":14379106,""updatedTime"":1776841200000,""firstVol"":6.2021996E7,""highestVol"":6.2021996E7,""firstVolDivLTGB"":0.12139900510629631,""firstVolDivVol"":16.859740821767666,""highestVolDivLTGB"":0.12139900510629631,""highestVolDivVol"":16.859740821767666}]", 09:30:00,148510267.7,0,4715098626.92,3.7950851487678983,6059023161.0,33,002194,20260422
920981.BJ,晶赛科技,34.4,-2.7974003955919806,771105,24568096,0.031386437109330735, 13:16:42,晶振+封装材料+年报增长,涨停,"[{""code"":""920981"",""time"":1776835002064,""openTime"":null,""duration"":6197936,""updatedTime"":1776841200000,""firstVol"":2699628.0,""highestVol"":2714752.0,""firstVolDivLTGB"":0.07235742804978598,""firstVolDivVol"":0.26722619003310893,""highestVolDivLTGB"":0.07276279269329426,""highestVolDivVol"":0.26608975620619163}]", 13:16:42,32648585.700000003,0,1040213184.64,47.33300456006033,1579689226.12,151,920981,20260422
002418.SZ,康盛股份,5.64,-3.754266211604106,25381452,879217038,0.028868244020539557, 11:19:38,液冷算力+家电制冷+扭亏预增,涨停,"[{""code"":""002418.SZ"",""time"":1776827978084,""openTime"":null,""duration"":7801022,""updatedTime"":1776841200000,""firstVol"":1.617491E8,""highestVol"":1.620733E8,""firstVolDivLTGB"":0.14233498670867178,""firstVolDivVol"":0.5221186676619525,""highestVolDivLTGB"":0.1426202742477737,""highestVolDivVol"":0.5208667867010862}]", 11:19:38,171070986.48000002,0,5925922836.12,38.26014333903297,7659316036.12,33,002418,20260422
605365.SH,立达信,29.47,0.20401224073443971,2406297,84196126,0.028579664104735652, 10:36:21,LED照明+北美订单+机器人+泰国基地,涨停,"[{""code"":""605365.SH"",""time"":1776825381418,""openTime"":null,""duration"":10397688,""updatedTime"":1776841200000,""firstVol"":8032197.0,""highestVol"":8257297.0,""firstVolDivLTGB"":0.015999982040301293,""firstVolDivVol"":0.5428296042759758,""highestVolDivLTGB"":0.016448376913742745,""highestVolDivVol"":0.5562903177235184}]", 10:36:21,73199554.74000001,0,2561246152.92,18.659650682740438,15271231687.92,17,605365,20260422
603115.SH,海星股份,56.89,-1.4038128249566764,2081000,85190400,0.024427635038689804, 09:31:11,AI服务器电极箔+储能电极箔+业绩高增+高分红,涨停,"[{""code"":""603115.SH"",""time"":1776821471285,""openTime"":null,""duration"":14307821,""updatedTime"":1776841200000,""firstVol"":854900.0,""highestVol"":3372500.0,""firstVolDivLTGB"":0.0035342452614903277,""firstVolDivVol"":0.33666758555507426,""highestVolDivLTGB"":0.013942264761230706,""highestVolDivVol"":1.2259178480552526}]", 09:31:11,111458360.0,0,4562797824.0,3.9760360322289836,12955649824.0,17,603115,20260422
