股票代码,股票简称,最新价,最新涨跌幅,涨停封单量[20260429],{(}涨停封单量[20260429]{*}100.0{)},自由流通股[20260429],fenglu_ratio,p_open,p_close,p_high,p_low,最低价:不复权排名[20260429],自由流通市值[20260429],实际换手率[20260429],涨停[20260429],zt_first_time,涨停明细数据[20260429],最终涨停时间[20260429],涨停封单额[20260429],涨停开板次数[20260429],market_code,code
603083.SH,剑桥科技,174.97,2.4954601370745655,1817426,181742600,237712162,0.7645490179000601,154.5,170.71,170.71,154.5,111/5521,40579843175.02,12.526147063522984,涨停, 11:01:11,"[{""code"":""603083.SH"",""time"":1777431671129,""openTime"":null,""duration"":8894333,""updatedTime"":1777446000000,""firstVol"":7730700.0,""highestVol"":9589700.0,""firstVolDivLTGB"":0.028051618854036342,""firstVolDivVol"":0.2819015774155802,""highestVolDivLTGB"":0.03479718645459691,""highestVolDivVol"":0.34749065668403606}]", 11:01:11,310252792.46000004,0,17,603083
603516.SH,淳中科技,142.25,-9.996836444163247,958646,95864600,140575539,0.6819436772709084,145.37,158.05,158.05,145.37,119/5521,22217963938.95,4.072972467848762,涨停, 09:39:36,"[{""code"":""603516.SH"",""time"":1777426776619,""openTime"":null,""duration"":13788843,""updatedTime"":1777446000000,""firstVol"":4929871.0,""highestVol"":4936569.0,""firstVolDivLTGB"":0.024253026710576914,""firstVolDivVol"":1.0673077464322194,""highestVolDivLTGB"":0.024285978236673122,""highestVolDivVol"":1.053813657012091}]", 09:39:36,151514000.3,0,17,603516
603629.SH,利通电子,144.41,9.993144946302083,3157544,315754400,139932820,2.2564713553260773,130.99,131.29,131.29,128.11,143/5521,18371779937.8,10.304288872331737,涨停, 09:31:42,"[{""code"":""603629.SH"",""time"":1777426302341,""openTime"":null,""duration"":14263121,""updatedTime"":1777446000000,""firstVol"":1152900.0,""highestVol"":6513344.0,""firstVolDivLTGB"":0.0044885770794075965,""firstVolDivVol"":0.11098254544614425,""highestVolDivLTGB"":0.025358354227337145,""highestVolDivVol"":0.4581125241616449}]", 09:31:42,414553951.76,0,17,603629
002851.SZ,麦格米特,120.21,3.978894559294174,2026386,202638600,397480926,0.509807104555251,110,115.61,115.61,109.5,197/5521,45952769854.86,5.718805233939704,涨停, 09:37:32,"[{""code"":""002851.SZ"",""time"":1777426652017,""openTime"":1777429039130,""duration"":2387113,""updatedTime"":1777429039130,""firstVol"":9295927.0,""highestVol"":9760027.0,""firstVolDivLTGB"":0.020292714178842704,""firstVolDivVol"":0.6470422780299023,""highestVolDivLTGB"":0.021305829777792752,""highestVolDivVol"":0.6357288389513108},{""code"":""002851.SZ"",""time"":1777429088542,""openTime"":null,""duration"":11476920,""updatedTime"":1777446000000,""firstVol"":4205876.0,""highestVol"":4749500.0,""firstVolDivLTGB"":0.009181294080693,""firstVolDivVol"":0.2060332184718978,""highestVolDivLTGB"":0.010368008052603407,""highestVolDivVol"":0.22444224483641068}]", 10:18:08,234270485.46,1,33,002851
603256.SH,宏和科技,119.1,-1.2601558613828636,1089600,108960000,140700337,0.7744117912098534,108.52,120.62,120.62,108.52,200/5521,16971274648.94,11.11598048269067,涨停, 09:43:22,"[{""code"":""603256.SH"",""time"":1777427002580,""openTime"":null,""duration"":13562882,""updatedTime"":1777446000000,""firstVol"":4782900.0,""highestVol"":6043000.0,""firstVolDivLTGB"":0.005436797190038961,""firstVolDivVol"":0.40476719602600514,""highestVolDivLTGB"":0.006869172556274528,""highestVolDivVol"":0.4665428625735965}]", 09:43:22,131427552.0,0,17,603256
603345.SH,安井食品,109.39,-0.39154980877799367,156239,15623900,219973013,0.07102643995697781,105.6,109.82,109.82,105.25,214/5521,24157436287.66,3.67733154612016,涨停, 09:34:51,"[{""code"":""603345.SH"",""time"":1777426491295,""openTime"":1777426546360,""duration"":55065,""updatedTime"":1777426546360,""firstVol"":43994.0,""highestVol"":400000.0,""firstVolDivLTGB"":1.4999954039327987E-4,""firstVolDivVol"":0.01678129728727663,""highestVolDivLTGB"":0.0013638181605971713,""highestVolDivVol"":0.14029136411957174},{""code"":""603345.SH"",""time"":1777426568823,""openTime"":null,""duration"":13996639,""updatedTime"":1777446000000,""firstVol"":321300.0,""highestVol"":2582001.0,""firstVolDivLTGB"":0.0010954869374996778,""firstVolDivVol"":0.09598606185589185,""highestVolDivLTGB"":0.008803449636200143,""highestVolDivVol"":0.5287233670041116}]", 09:36:08,17158166.98,1,17,603345
603026.SH,石大胜华,114.92,-3.6310272536687616,442400,44240000,155440835,0.28460989674946097,106.44,119.25,119.25,102.5,223/5521,18536319573.75,17.841120706794968,涨停, 13:08:58,"[{""code"":""603026.SH"",""time"":1777439338607,""openTime"":1777439364922,""duration"":26315,""updatedTime"":1777439364922,""firstVol"":313500.0,""highestVol"":313500.0,""firstVolDivLTGB"":0.0013472223202259015,""firstVolDivVol"":0.01537727594720341,""highestVolDivLTGB"":0.0013472223202259015,""highestVolDivVol"":0.01537727594720341},{""code"":""603026.SH"",""time"":1777439455035,""openTime"":null,""duration"":6544965,""updatedTime"":1777446000000,""firstVol"":3757000.0,""highestVol"":4336210.0,""firstVolDivLTGB"":0.016145181043345173,""firstVolDivVol"":0.17478696413978156,""highestVolDivLTGB"":0.01863425485546015,""highestVolDivVol"":0.19937580371777405}]", 13:10:55,52756200.0,1,17,603026
688531.SH,日联科技,120.6,19.999999999999996,4417196,441719600,106963834,4.129616371081089,100.5,100.5,100.5,100.5,233/5521,10749865317.0,2.246865047862813,涨停, 09:30:00,"[{""code"":""688531.SH"",""time"":1777426200000,""openTime"":null,""duration"":14365462,""updatedTime"":1777446000000,""firstVol"":1.2209794E7,""highestVol"":1.2209794E7,""firstVolDivLTGB"":0.10637671005297868,""firstVolDivVol"":29.128918513994524,""highestVolDivLTGB"":0.10637671005297868,""highestVolDivVol"":29.128918513994524}]", 09:30:00,443928198.0,0,17,688531
002192.SZ,融捷股份,109.22,10.001007150770462,485224,48522400,191495620,0.2533864743224936,90.44,99.29,99.29,88.88,288/5521,19013600109.8,20.878432624203104,涨停, 13:51:11,"[{""code"":""002192.SZ"",""time"":1777441871135,""openTime"":null,""duration"":4128865,""updatedTime"":1777446000000,""firstVol"":2737900.0,""highestVol"":2737900.0,""firstVolDivLTGB"":0.01056624164407648,""firstVolDivVol"":0.07071792186479381,""highestVolDivLTGB"":0.01056624164407648,""highestVolDivVol"":0.07071792186479381}]", 13:51:11,48177890.96,0,33,002192
002756.SZ,永兴材料,87.24,4.105011933174222,1930370,193037000,338940389,0.5695308268499096,76.22,83.8,83.8,76.22,364/5521,28403204598.2,5.931210812412209,涨停, 11:03:29,"[{""code"":""002756.SZ"",""time"":1777431809406,""openTime"":null,""duration"":8756056,""updatedTime"":1777446000000,""firstVol"":1.161225E7,""highestVol"":1.182228E7,""firstVolDivLTGB"":0.029999772061410235,""firstVolDivVol"":0.6586540468575868,""highestVolDivLTGB"":0.030542375960401217,""highestVolDivVol"":0.662518895239201}]", 11:03:29,161765006.0,0,33,002756
