股票代码,股票简称,最新价,chg_pct,分时买二量[20260417 09:15],{(}分时买二量[20260417 09:15]{*}100.0{)},自由流通股[20260417],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260417 09:15],分时买四量[20260417 09:15],分时买五量[20260417 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
000609.SZ,*ST中迪,14.42,5.0254916241806225,2875500.0,287550000,219913472,1.307559729674042,20979400,2097940000.0,219913472,9.539843016074977,5.0254916241806225,3,1/248,88377793.1,10.75441412520064,0.0,0.0,0.0,684900,9876258.0,0.23531370377956481,14.42,1300.0,1100.0,83800.0,33,000609,20260417
002081.SZ,金螳螂,5.9,10.074626865671641,19200.0,1920000,1338068052,0.0014349045978118906,66100.0,6610000.0,1338068052,0.004939958016425311,-3.5447761194029925,3,1/248,7071170170.0,33.86004514672686,0.0,0.0,0.0,12689900,65606783.0,0.4799066596050272,5.17,14500.0,83200.0,42700.0,33,002081,20260417
603095.SH,越剑智能,25.37,10.017346053772776,300.0,30000,79177144,0.00037889722316834264,2786176.0,278617600.0,79177144,3.518914498860934,10.01734605377278,3,1/248,779744264.0,33.175853018372706,0.0,0.0,0.0,1271024,32245879.0,0.4921314659277994,25.37,400.0,400.0,400.0,17,603095,20260417
603399.SH,永杉锂业,19.39,9.98298355076575,126000.0,12600000,383610176,0.032845844005973394,24025756,2402575600.0,383610176,6.263065346837932,9.982983550765745,3,1/248,2081306811.0,27.522306108442002,0.0,0.0,0.0,2918044,56580873.0,0.5696071176969697,19.39,2100.0,1100.0,200.0,17,603399,20260417
001266.SZ,宏英智能,40.59,2.7074898785425106,1600.0,160000,36043042,0.0044391369629677765,6100.0,610000.0,36043042,0.016924209671314645,6.022267206477716,2,9/248,851171105.2,23.02510716472751,0.0,0.0,0.0,733900,30750410.0,1.262330426057417,41.9,200.0,100.0,400.0,33,001266,20260417
002210.SZ,飞马国际,2.98,-9.969788519637465,160692.0,16069200,1859594992,0.008641236435422708,112200.0,11220000.0,1859594992,0.006033571852079929,1.5105740181268867,2,9/248,2404508812.0,20.437956204379564,0.0,0.0,0.0,21728700,73008432.0,0.8183242232298049,3.36,53000.0,57400.0,1253700.0,33,002210,20260417
002652.SZ,扬子新材,5.93,-4.045307443365696,22100.0,2210000,358464000,0.006165193715407963,6700.0,670000.0,358464000,0.001869085877521871,3.721682847896446,2,9/248,1246104597.0,28.96281800391388,0.0,0.0,0.0,3094900,19838309.0,0.6043971066116736,6.41,1600.0,23800.0,27700.0,33,002652,20260417
600156.SH,华升股份,10.8,-3.3124440465532605,3178000.0,317800000,240006390,1.324131411667831,100.0,10000.0,240006390,4.166555732120299e-05,5.819158460161145,2,9/248,1919868203.0,33.477789815817985,0.0,0.0,0.0,2472200,29221404.0,0.614805820313631,11.82,800.0,400.0,400.0,17,600156,20260417
600243.SH,*ST海华,4.16,3.740648379052378,1800.0,180000,395616125,0.00045498650996594236,13500.0,1350000.0,395616125,0.003412398824744568,1.2468827930174564,2,9/248,160713541.0,10.439560439560449,0.0,0.0,0.0,3828500,15543710.0,0.8723937564087957,4.06,84400.0,205900.0,100.0,22,600243,20260417
603629.SH,利通电子,144.41,9.993144946302083,31300.0,3130000,139932820,0.022367876242328284,300.0,30000.0,139932820,0.0002143885901820602,8.401249143118283,2,9/248,8981480700.0,23.10599078341013,0.0,0.0,0.0,1648700,234642980.0,0.6418871568062542,142.32,1000.0,100.0,4200.0,17,603629,20260417
