股票代码,股票简称,最新价,chg_pct,分时买二量[20260430 09:15],{(}分时买二量[20260430 09:15]{*}100.0{)},自由流通股[20260423],yedan_pct,分时买一量[20260430 09:25],{(}分时买一量[20260430 09:25]{*}100.0{)},自由流通股[20260430],open_seal_pct,分时涨跌幅:前复权[20260430 09:25],涨停次数[20260428-20260430],涨停次数排名[20260428-20260430],区间成交额[20260428-20260430],区间振幅[20260428-20260430],分时买三量[20260430 09:15],分时买四量[20260430 09:15],分时买五量[20260430 09:15],分时成交量[20260430 09:25],分时成交额[20260430 09:25],分时换手率[20260430 09:25],分时收盘价:不复权[20260430 09:25],free_mkt_cap,free_mkt_cap,real_turnover,real_turnover,分时买三量[20260430 09:25],分时买四量[20260430 09:25],分时买五量[20260430 09:25],market_code,code,date
000609.SZ,*ST中迪,14.42,5.0254916241806225,26349100,2634910000,219913472,11.981576099166858,20979400,2097940000,219913472,9.539843016074977,5.0254916241806225,3,1/248,88377793.1,10.75441412520064,0.0,0.0,0.0,684900,9876258.0,0.23531370377956481,14.42,2485022233.6,3171152266.24,0.46176752645695124,1.33538885694097,1300.0,1100.0,83800.0,33,000609,20260423
002289.SZ,*ST宇顺,36.56,4.997128087306152,572700.0,57270000,162360630,0.3527332950112352,740900.0,74090000,162360630,0.4563298380894432,4.997128087306146,3,1/248,174172308.3,13.141228625712495,0.0,0.0,0.0,31100,1137016.0,0.01133252934078389,36.56,5140337545.8,5935904632.8,2.5480327342903264,0.2627564330096526,5000.0,100.0,3200.0,33,002289,20260423
600379.SH,宝光股份,16.78,10.032786885245908,3748600.0,374860000,184284480,2.034137654999488,100.0,10000,184284480,5.426392933360422e-05,8.196721311475418,3,1/248,2043104639.0,35.555555555555564,0.0,0.0,0.0,4662400,76929600.0,1.4119860437729483,16.5,2251956345.6,3092293574.4,8.692341861886579,23.78625047535202,280700.0,62300.0,800.0,17,600379,20260423
600381.SH,*ST春天,3.59,4.970760233918127,40045900,4004590000,341682758,11.72019923814827,36019400,3601940000,341682758,10.54176693340786,4.970760233918137,3,1/248,55565017.0,18.38709677419354,0.0,0.0,0.0,140600,504754.0,0.023949821573914443,3.59,1165138204.78,1226641101.22,2.412104446897493,0.3197984020018944,23500.0,56000.0,3500.0,22,600381,20260423
603095.SH,越剑智能,25.37,10.017346053772776,1708120.0,170812000,79177144,2.1573397494610314,2786176.0,278617600,79177144,3.518914498860934,10.01734605377278,3,1/248,779744264.0,33.175853018372706,0.0,0.0,0.0,1271024,32245879.0,0.4921314659277994,25.37,1387183562.88,2008724143.28,6.081780368334579,4.750386045750779,400.0,400.0,400.0,17,603095,20260423
603399.SH,永杉锂业,19.39,9.98298355076575,70630150,7063015000,383610176,18.411959436654776,24025756,2402575600,383610176,6.263065346837932,9.982983550765745,3,1/248,2081306811.0,27.522306108442002,0.0,0.0,0.0,2918044,56580873.0,0.5696071176969697,19.39,5186409579.52,7438201312.64,15.481562720588517,2.2653906344757653,2100.0,1100.0,200.0,17,603399,20260423
603843.SH,*ST正平,8.97,5.0351288056206265,18786000,1878600000,498171582,3.770989891591207,19899100,1989910000,498171582,3.994426964322505,5.035128805620626,3,1/248,304259648.0,17.958656330749363,0.0,0.0,0.0,376500,3377205.0,0.05381467911421015,8.97,4089988688.22,4468599090.54,4.083805808096055,0.2815576100043378,28100.0,29200.0,1200.0,22,603843,20260423
000838.SZ,*ST发展,1.95,4.838709677419347,39300.0,3930000,701541376,0.005601950411546361,1059400.0,105940000,701541376,0.1510103375570538,3.2258064516129004,2,9/248,339175650.0,8.333333333333329,0.0,0.0,0.0,3013800,5786496.0,0.28600281416406304,1.92,1199635752.96,1368005683.2,9.627759432395901,2.4244758159495925,14200.0,231000.0,254000.0,33,000838,20260423
001266.SZ,宏英智能,40.59,2.7074898785425106,558900.0,55890000,36043042,1.5506460303766814,6100.0,610000,36043042,0.016924209671314645,6.022267206477716,2,9/248,851171105.2,23.02510716472751,0.0,0.0,0.0,733900,30750410.0,1.262330426057417,41.9,1156260787.36,1462987074.78,4.058203522333104,46.630251131411164,200.0,100.0,400.0,33,001266,20260423
002210.SZ,飞马国际,2.98,-9.969788519637465,29240600,2924060000,1859594992,1.5724176568442814,112200.0,11220000,1859594992,0.006033571852079929,1.5105740181268867,2,9/248,2404508812.0,20.437956204379564,0.0,0.0,0.0,21728700,73008432.0,0.8183242232298049,3.36,4686179379.84,5541593076.16,3.811417663787729,22.77507504709391,53000.0,57400.0,1253700.0,33,002210,20260423
