股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260428],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260428],最高价:前复权[20260428],最低价:前复权[20260428],收盘价:前复权[20260428],振幅[20260428],成交量[20260428],market_code,code,date
600345.SH,长江通信,48.66,-5.952841128720537,52.53,52.16,0.69005175,54,22.20880952,20001222,1/870,50.57,25.95880952,20001222,52.16,54,50.57,52.53,6.574659,1.6381792E7,17,600345,20260428
000633.SZ,合金投资,6.83,0.14662756598240156,6.66,6.62,-0.14992504,6.75,16.86616162,20000104,2/870,6.58,23.84848485,20001229,6.62,6.75,6.58,6.66,2.548725,1.12648E7,33,000633,20260428
000931.SZ,中关村,4.75,0.21097046413501658,4.68,4.69,-0.42553191,4.73,15.68965517,20000119,3/870,4.63,22.4137931,20001221,4.69,4.73,4.63,4.68,2.127659,1.6663748E7,33,000931,20260428
600198.SH,大唐电信,8.4,-0.8264462809917388,7.94,8.1,-3.6407767,8.17,14.82061402,20000114,4/870,7.89,23.73134328,20001221,8.1,8.17,7.89,7.94,3.398058,2.2562101E7,17,600198,20260428
600243.SH,*ST海华,4.16,3.740648379052378,3.82,3.82,4.94505495,3.82,13.47725806,20001218,5/870,3.82,15.5933871,20001201,3.82,3.82,3.82,3.82,0,1204700,22,600243,20260428
000985.SZ,大庆华科,20.23,-0.2957121734844688,19.98,19.8,1.36986301,20.08,13.45506452,20001204,6/870,19.69,15.92146237,20001221,19.8,20.08,19.69,19.98,1.978691,1834588,33,000985,20260428
600259.SH,中稀有色,92.01,-1.772178926016864,86.0,89,-2.25051148,89.29,13.25952381,20001212,7/870,85.09,14.65952381,20001225,89,89.29,85.09,86.0,4.773812,1.2402104E7,17,600259,20260428
600265.SH,*ST景谷,22.02,-0.13605442176871263,22.66,22.66,5.00463392,22.66,11.61777778,20001212,8/870,22.66,13.03753086,20001227,22.66,22.66,22.66,22.66,0,102800,22,600265,20260428
600727.SH,鲁北化工,8.07,-0.12376237623762112,7.91,7.92,-0.75282309,8.06,11.58571429,20001218,9/870,7.85,13.83956044,20000107,7.92,8.06,7.85,7.91,2.63488,1.9835901E7,17,600727,20260428
000156.SZ,华数传媒,7.41,-0.9358288770053513,7.37,7.5,-1.86418109,7.5,11.51323928,20001212,10/870,7.33,13.26578047,20001205,7.5,7.5,7.33,7.37,2.263648,9882100,33,000156,20260428
000990.SZ,诚志股份,12.6,-2.6275115919629046,13.17,12.3,5.10774142,13.18,11.26912106,20001208,11/870,12.1,12.78008476,20001226,12.3,13.18,12.1,13.17,8.619313,9.5219533E7,33,000990,20260428
000697.SZ,ST炼石,,,10.01,10.15,0.3006012,10.21,11.25851641,20000104,12/870,9.98,15.17259323,20000128,10.15,10.21,9.98,10.01,2.304609,7063121,33,000697,20260428
000948.SZ,南天信息,14.49,0.48543689320388544,14.3,14.41,-1.51515152,14.55,10.47909775,20001211,13/870,14.25,14.44735759,20000128,14.41,14.55,14.25,14.3,2.066115,6180612,33,000948,20260428
000409.SZ,云鼎科技,10.16,0.2961500493583352,10.07,10.23,-2.13799806,10.29,9.95525526,20000124,14/870,10,19.04796133,20001227,10.23,10.29,10,10.07,2.81827,6950256,33,000409,20260428
600661.SH,昂立教育,10.2,1.1904761904761827,9.98,9.99,-0.3992016,10.24,9.84925926,20000114,15/870,9.9,19.98506173,20001221,9.99,10.24,9.9,9.98,3.393213,7122277,17,600661,20260428
600262.SH,北方股份,24.51,1.030502885408079,23.36,22.88,1.60939539,24.13,9.22633333,20001218,16/870,22.71,10.643,20001205,22.88,24.13,22.71,23.36,6.176598,1.0056528E7,17,600262,20260428
600671.SH,天目药业,19.91,1.3747454175152727,19.48,19.38,1.08977686,20.05,9.07407407,20000119,17/870,19.19,14.41666667,20001206,19.38,20.05,19.19,19.48,4.462895,2932600,17,600671,20260428
600135.SH,乐凯胶片,11.43,4.098360655737698,9.98,10.4,-4.58891013,10.44,8.97388889,20000104,18/870,9.91,13.57858974,20001201,10.4,10.44,9.91,9.98,5.066921,1.7307956E7,17,600135,20260428
600722.SH,金牛化工,13.61,0.5169867060561321,13.31,12.88,1.60305344,13.5,8.93656716,20001212,19/870,12.88,12.47485399,20000110,12.88,13.5,12.88,13.31,4.732824,7.1282259E7,17,600722,20260428
