股票代码,股票简称,p_close,p_open,涨跌幅:前复权[20260430],p_high,区间最低价:前复权[20000104-20001229],区间最低价:前复权日[20000104-20001229],区间最低价:前复权排名[20000104-20001229],p_low,区间最高价:前复权[20000104-20001229],区间最高价:前复权日[20000104-20001229],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
600345.SH,长江通信,48.66,50,-5.95284113,50.56,22.20880952,20001222,1/870,47,25.95880952,20001222,50,50.56,47,48.66,6.880556,2.2872782E7,17,600345,20260430
000633.SZ,合金投资,6.83,6.79,0.14662757,6.95,16.86616162,20000104,2/870,6.77,23.84848485,20001229,6.79,6.95,6.77,6.83,2.639296,7587900,33,000633,20260430
000931.SZ,中关村,4.75,4.74,0.21097046,4.81,15.68965517,20000119,3/870,4.72,22.4137931,20001221,4.74,4.81,4.72,4.75,1.898734,1.02379E7,33,000931,20260430
600198.SH,大唐电信,8.4,8.28,-0.82644628,8.48,14.82061402,20000114,4/870,8.21,23.73134328,20001221,8.28,8.48,8.21,8.4,3.187721,3.3294829E7,17,600198,20260430
600243.SH,*ST海华,4.16,4.06,3.74064838,4.2,13.47725806,20001218,5/870,3.91,15.5933871,20001201,4.06,4.2,3.91,4.16,7.23192,3.4708336E7,22,600243,20260430
000985.SZ,大庆华科,20.23,20.48,-0.29571217,20.55,13.45506452,20001204,6/870,20.1,15.92146237,20001221,20.48,20.55,20.1,20.23,2.217841,1331000,33,000985,20260430
600259.SH,中稀有色,92.01,92.44,-1.77217893,93.64,13.25952381,20001212,7/870,90.34,14.65952381,20001225,92.44,93.64,90.34,92.01,3.523006,1.4705909E7,17,600259,20260430
600265.SH,*ST景谷,22.02,21.49,-0.13605442,22.68,11.61777778,20001212,8/870,21,13.03753086,20001227,21.49,22.68,21,22.02,7.619047,2626664,22,600265,20260430
600727.SH,鲁北化工,8.07,8.08,-0.12376238,8.25,11.58571429,20001218,9/870,8.03,13.83956044,20000107,8.08,8.25,8.03,8.07,2.722772,2.8065669E7,17,600727,20260430
000156.SZ,华数传媒,7.41,7.45,-0.93582888,7.51,11.51323928,20001212,10/870,7.37,13.26578047,20001205,7.45,7.51,7.37,7.41,1.871657,7513800,33,000156,20260430
000990.SZ,诚志股份,12.6,12.97,-2.62751159,13.07,11.26912106,20001208,11/870,12.46,12.78008476,20001226,12.97,13.07,12.46,12.6,4.714064,6.3998355E7,33,000990,20260430
000697.SZ,ST炼石,10.17,10.17,,10.17,11.25851641,20000104,12/870,10.17,15.17259323,20000128,10.17,10.17,10.17,10.17,,,33,000697,20260430
000948.SZ,南天信息,14.49,14.51,0.48543689,14.68,10.47909775,20001211,13/870,14.43,14.44735759,20000128,14.51,14.68,14.43,14.49,1.733703,4273760,33,000948,20260430
000409.SZ,云鼎科技,10.16,10.1,0.29615005,10.19,9.95525526,20000124,14/870,10.1,19.04796133,20001227,10.1,10.19,10.1,10.16,0.88845,3261637,33,000409,20260430
