股票代码,股票简称,最新价,chg_pct,p_close,p_open,涨跌幅:前复权[20260327],p_high,p_low,p_low,开盘价:前复权[20260327],最高价:前复权[20260327],最低价:前复权[20260327],收盘价:前复权[20260327],振幅[20260327],成交量[20260327],market_code,code,date
600519.SH,贵州茅台,1384.79,-1.1690230307528786,1416.02,1400,1.05910732,1426,1396.66,1/5521,1400,1426,1396.66,1416.02,2.093949,3008711,17,600519,20260327
688498.SH,源杰科技,1571.0,3.6963696369636962,1100.11,1076.24,-3.4999693,1135,1071.87,2/5521,1076.24,1135,1071.87,1100.11,5.53767,3496120,17,688498,20260327
688256.SH,寒武纪,1699.96,20.00028236024932,1024.0,1005,-0.08781345,1038.05,1005,3/5521,1005,1038.05,1005,1024.0,3.224704,5042257,17,688256,20260327
300308.SZ,中际旭创,857.5,1.4792899408284024,598.0,598.85,-2.63757734,609.88,588.66,4/5521,597.85,608.88,587.66,597.0,3.4549,2.2432603E7,33,300308,20260327
688802.SH,沐曦股份,758.03,6.261915442413362,598.14,593,-1.26607352,607.94,580.03,5/5521,593,607.94,580.03,598.14,4.607055,1525026,17,688802,20260327
688795.SH,摩尔线程,715.7,3.784802784222741,552.5,547.69,-1.07430618,559.01,543.61,6/5521,547.69,559.01,543.61,552.5,2.757385,1202129,17,688795,20260327
688027.SH,国盾量子,572.19,2.385212754536027,552.0,539.5,-1.071723,558.88,538.68,7/5521,539.5,558.88,538.68,552.0,3.620201,2458289,17,688027,20260327
300502.SZ,新易盛,525.79,-2.0875232774674184,447.41,446.29,-2.09846827,461.3,440.01,8/5521,446.29,461.3,440.01,447.41,4.658643,2.9831745E7,33,300502,20260327
002371.SZ,北方华创,536.99,5.145777447083478,452.98,439.5,1.53997893,457.97,434.5,9/5521,439.5,457.97,434.5,452.98,5.261034,5805381,33,002371,20260327
300750.SZ,宁德时代,436.0,-2.0224719101123596,416.18,406.12,3.39875776,418.33,401.73,10/5521,399.163,411.373,394.773,409.22,4.124223,3.0258043E7,33,300750,20260327
