股票代码,股票简称,p_close,p_open,涨跌幅:前复权[20260430],p_high,p_low,p_low,开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
688498.SH,源杰科技,1571.0,1535,3.69636964,1610.31,1497.48,1/5521,1535,1610.31,1497.48,1571.0,7.447524,2796088,17,688498,20260430
688256.SH,寒武纪,1699.96,1475,20.00028236,1699.96,1475,2/5521,1475,1699.96,1475,1699.96,15.87994,1.7884265E7,17,688256,20260430
600519.SH,贵州茅台,1384.79,1400,-1.16902303,1401.17,1380,3/5521,1400,1401.17,1380,1384.79,1.51088,5275267,17,600519,20260430
688808.SH,联讯仪器,1033.33,911,11.35021552,1060,911,4/5521,911,1060,911,1033.33,16.056034,4887190,17,688808,20260430
300308.SZ,中际旭创,857.5,863.66,1.47928994,874.65,845,5/5521,863.66,874.65,845,857.5,3.508875,2.1270964E7,33,300308,20260430
688802.SH,沐曦股份,758.03,713.01,6.26191544,777,713.01,6/5521,713.01,777,713.01,758.03,8.970225,3937690,17,688802,20260430
688795.SH,摩尔线程,715.7,690,3.78480278,732.99,690,7/5521,690,732.99,690,715.7,6.234048,4932764,17,688795,20260430
688027.SH,国盾量子,572.19,557,2.38521275,572.5,555,8/5521,557,572.5,555,572.19,3.131374,2319630,17,688027,20260430
920045.BJ,蘅东光,551.02,561.1,-3.41793452,578,542.52,9/5521,561.1,578,542.52,551.02,6.218888,997321,151,920045,20260430
300502.SZ,新易盛,525.79,549,-2.08752328,549,518,10/5521,549,549,518,525.79,5.772811,3.0209791E7,33,300502,20260430
001309.SZ,德明利,524.81,517.71,0.35951275,535,509.01,11/5521,517.71,535,509.01,524.81,4.970072,1.9354427E7,33,001309,20260430
002371.SZ,北方华创,536.99,519.18,5.14577745,541.16,507.09,12/5521,519.18,541.16,507.09,536.99,6.671104,1.6592589E7,33,002371,20260430
300757.SZ,罗博特科,482.1,489.02,-1.27375491,492.98,460.99,13/5521,489.02,492.98,460.99,482.1,6.551032,8677817,33,300757,20260430
688502.SH,茂莱光学,474.5,451.16,-0.08422826,481.5,448.15,14/5521,451.16,481.5,448.15,474.5,7.022531,2563571,17,688502,20260430
300750.SZ,宁德时代,436.0,446.5,-2.02247191,449.5,436,15/5521,446.5,449.5,436,436.0,3.033707,2.9812094E7,33,300750,20260430
688072.SH,拓荆科技,445.0,426.36,5.0345788,456.5,425,16/5521,426.36,456.5,425,445.0,7.435031,6724544,17,688072,20260430
688809.SH,强一股份,423.25,407.38,3.86503067,425,407.38,17/5521,407.38,425,407.38,423.25,4.323926,2096629,17,688809,20260430
603444.SH,吉比特,406.61,413.2,-2.16313763,414.88,406.6,18/5521,413.2,414.88,406.6,406.61,1.9923,2045213,17,603444,20260430
301308.SZ,江波龙,401.12,410,-3.18126961,414,396,19/5521,410,414,396,401.12,4.344677,1.8901278E7,33,301308,20260430
300870.SZ,欧陆通,404.0,384.11,7.44966621,412.32,381.3,20/5521,384.11,412.32,381.3,404.0,8.250219,5665069,33,300870,20260430
688012.SH,中微公司,376.3,360,4.59750945,379,355.55,21/5521,360,379,355.55,376.3,6.518234,1.9165385E7,17,688012,20260430
688167.SH,炬光科技,357.98,354,2.45563824,361.79,349.02,22/5521,354,361.79,349.02,357.98,3.654836,3808190,17,688167,20260430
688807.SH,优迅股份,355.0,366.2,-2.25770925,369.96,346.43,23/5521,366.2,369.96,346.43,355.0,6.478524,2050962,17,688807,20260430
688048.SH,长光华芯,352.03,372,0.23633257,379.89,344.06,24/5521,372,379.89,344.06,352.03,10.202164,1.546783E7,17,688048,20260430
601869.SH,长飞光纤,353.9,359.1,-4.48558782,365,336.99,25/5521,359.1,365,336.99,353.9,7.559645,2.0776927E7,17,601869,20260430
688025.SH,杰普特,356.01,344,9.87962963,375,333.71,26/5521,344,375,333.71,356.01,12.743827,5890626,17,688025,20260430
688200.SH,华峰测控,349.5,335,4.31590258,362.8,326.3,27/5521,335,362.8,326.3,349.5,10.894221,3963674,17,688200,20260430
300476.SZ,胜宏科技,328.49,333,-1.61140564,336.86,326.06,28/5521,333,336.86,326.06,328.49,3.234791,3.2353363E7,33,300476,20260430
688195.SH,腾景科技,332.0,331.23,2.54509513,338.23,320.07,29/5521,331.23,338.23,320.07,332.0,5.609093,7455886,17,688195,20260430
301396.SZ,宏景科技,316.74,322.99,-3.27072836,332,315,30/5521,322.99,332,315,316.74,5.191632,7953096,33,301396,20260430
002916.SZ,深南电路,312.5,318.68,-0.63908938,322.75,308.21,31/5521,318.68,322.75,308.21,312.5,4.623064,1.0249714E7,33,002916,20260430
688785.SH,恒运昌,325.05,308.18,3.48615091,333,308.18,32/5521,308.18,333,308.18,325.05,7.901942,1136031,17,688785,20260430
603986.SH,兆易创新,312.99,320,1.32733335,321,306.48,33/5521,320,321,306.48,312.99,4.700702,5.8796514E7,17,603986,20260430
300394.SZ,天孚通信,307.5,312.87,-1.15400688,314.9,305,34/5521,312.87,314.9,305,307.5,3.182358,2.3598894E7,33,300394,20260430
301629.SZ,矽电股份,305.13,312,-1.15646259,316.06,304,35/5521,312,316.06,304,305.13,3.906705,2031793,33,301629,20260430
688702.SH,盛科通信,322.16,314,-1.7804878,368.88,304,35/5521,314,368.88,304,322.16,19.780487,1.1224522E7,17,688702,20260430
688041.SH,海光信息,296.25,284.9,6.27040212,302.68,284.88,37/5521,284.9,302.68,284.88,296.25,6.385192,4.8909295E7,17,688041,20260430
301666.SZ,大普微,318.0,285,7.43243243,338.5,282,38/5521,285,338.5,282,318.0,19.087837,9227630,33,301666,20260430
688627.SH,精智达,293.03,285.74,1.75006077,299.38,276.36,39/5521,285.74,299.38,276.36,293.03,7.993333,5619859,17,688627,20260430
603129.SH,春风动力,274.73,274.5,-0.46014493,282,273.5,40/5521,274.5,282,273.5,274.73,3.07971,734096,17,603129,20260430
688506.SH,百利天恒,272.74,268.98,0.64206642,279.5,267.47,41/5521,268.98,279.5,267.47,272.74,4.439114,1994188,17,688506,20260430
301626.SZ,苏州天脉,279.16,271,3.63825364,280,266.29,42/5521,271,280,266.29,279.16,5.089842,2256211,33,301626,20260430
688525.SH,佰维存储,265.08,270,-1.45724907,270.01,263.5,43/5521,270,270.01,263.5,265.08,2.420074,2.5651813E7,17,688525,20260430
301345.SZ,涛涛车业,270.01,263.57,2.23391769,278,263.02,44/5521,263.57,278,263.02,270.01,5.671879,1369664,33,301345,20260430
688766.SH,普冉股份,271.09,272,1.26634292,283.03,260.02,45/5521,272,283.03,260.02,271.09,8.595442,9266984,17,688766,20260430
688521.SH,芯原股份,280.88,260,19.99829111,280.88,260,46/5521,260,280.88,260,280.88,8.920408,4.0905185E7,17,688521,20260430
300857.SZ,协创数据,259.7,267.55,-4.44125547,270,258.79,47/5521,267.55,270,258.79,259.7,4.124811,2.9056454E7,33,300857,20260430
688692.SH,达梦数据,263.73,257,2.55881781,263.84,255.65,48/5521,257,263.84,255.65,263.73,3.184911,1675949,17,688692,20260430
