股票代码,股票简称,最新价,最新涨跌幅,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260410],p_high,p_low,p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260410],最高价:前复权[20260410],最低价:前复权[20260410],收盘价:前复权[20260410],振幅[20260410],成交量[20260410],market_code,code,date
301696.SZ,三瑞智能,94.7,-1.5592515592515592,94.25,94.25,92.0,272.77147488,1/5521,95.7,93.32,102.5,85.73,94.25,94.25,94.25,0,90,102.5,85.73,92.0,67.949756,2.4617437E7,33,301696,20260410
688811.SH,有研复材,24.08,12.052117263843648,21.48,21.48,17.12,167.08268331,2/5521,24.8,21.46,20.5,16.8,21.48,21.48,21.48,0,20.01,20.5,16.8,17.12,57.722308,7.142077E7,17,688811,20260410
920181.BJ,赛英电子,84.12,7.873813798409849,77.98,77.98,61.8,120.71428571,3/5521,85.86,77.87,68.6,60,77.98,77.98,77.98,0,60,68.6,60,61.8,30.714285,9162959,151,920181,20260410
920237.BJ,力佳科技,19.72,-2.3762376237623783,20.16,20.16,23.7,28.17739319,4/5521,20.24,19.71,24.03,18.51,20.16,20.16,20.16,0,18.51,24.03,18.51,23.7,29.853975,1.0698963E7,151,920237,20260410
688690.SH,纳微科技,32.62,-0.790754257907558,32.94,32.94,31.54,20.0152207,5/5521,33.48,32.1,31.54,29.93,32.94,32.94,32.94,0,30,31.54,29.93,31.54,6.126331,2.2537752E7,17,688690,20260410
300131.SZ,英唐智控,16.25,-2.1084337349397675,16.75,16.75,15.42,20,6/5521,16.99,16.2,15.42,12.98,16.75,16.75,16.75,0,13,15.42,12.98,15.42,18.988326,2.57997779E8,33,300131,20260410
688478.SH,晶升股份,41.94,0.5996641880546895,41.56,41.56,35.88,20,6/5521,42.99,40.1,35.88,30.28,41.56,41.56,41.56,0,30.49,35.88,30.28,35.88,18.729096,1.0860859E7,17,688478,20260410
300561.SZ,*ST汇科,17.06,-3.5613340870548473,17.8,17.8,13.57,19.98231653,8/5521,17.84,17.03,13.57,13.57,17.8,17.8,17.8,0,13.57,13.57,13.57,13.57,0,1397495,33,300561,20260410
301189.SZ,奥尼电子,81.3,0.2713369511593474,81.21,81.21,57.32,14.82371795,9/5521,86.36,78.81,57.88,50.01,81.21,81.21,81.21,0,50.01,57.88,50.01,57.32,15.765224,1.0151056E7,33,301189,20260410
300207.SZ,欣旺达,27.43,-1.1531531531531543,27.71,27.71,28.63,14.70352564,10/5521,27.8,26.9,29.95,25.76,27.71,27.71,27.71,0,25.85,29.95,25.76,28.63,16.786858,2.89080755E8,33,300207,20260410
