股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260414],分时开盘价:不复权[20260414 09:25],p_925,chg_pct,分时涨跌幅:前复权排名[20260414 09:25],分时最高价:不复权[20260414 09:25],分时最低价:不复权[20260414 09:25],分时振幅[20260414 09:25],竞价匹配价[20260414],竞价异动类型[20260414],竞价异动说明[20260414],集合竞价评级[20260414],竞价量[20260414],竞价金额[20260414],竞价未匹配量[20260414],竞价未匹配金额[20260414],分时成交量[20260414 09:25],分时成交额[20260414 09:25],分时换手率[20260414 09:25],market_code,code,date
300857.SZ,协创数据,259.7,-4.441255473378222,15.414,240.06,240.06,15.413461538461547,1/5521,240.06,240.06,0,240.06,竞价抢筹,单笔放量10%以上抢筹,看多,1663354,399304760.0,17346,4164080.8,1663354,399304760.0,0.4835467477211183,33,300857,20260414
301219.SZ,腾远钴业,88.7,1.8720569656598252,13.826,77.8,77.8,13.825896122896864,2/5521,77.8,77.8,0,77.8,竞价抢筹,单笔放量10%以上抢筹,看多,1259100,97957980.0,-11272,-876961.6,1259100,97957980.0,0.6152594848448116,33,301219,20260414
300943.SZ,春晖智控,28.44,-2.7027027027027,12.61,33.22,33.22,12.610169491525426,3/5521,33.22,33.22,0,33.22,竞价抢筹,单笔放量10%以上抢筹,看多,808300,26851726.0,74900,2488178.0,808300,26851726.0,0.6016810132317195,33,300943,20260414
300408.SZ,三环集团,85.7,4.4994512864284815,12.455,69.16,69.16,12.455284552845525,4/5521,69.16,69.16,0,69.16,竞价抢筹,单笔放量10%以上抢筹,看多,1198100,82860596.0,6200,428792.0,1198100,82860596.0,0.06407623671594548,33,300408,20260414
688111.SH,金山办公,251.94,1.075182540319348,11.235,260.0,260.0,11.234705228031139,5/5521,260.0,260.0,0,260.0,大幅高开,大幅高开11.20%,看多,546793,142166180.0,-70884,-18429840.0,546793,142166180.0,0.11800299914892808,17,688111,20260414
920725.BJ,惠丰钻石,31.32,3.537190082644629,10.689,32.93,32.93,10.689075630252098,6/5521,32.93,32.93,0,32.93,,,,132434,4361051.6,-803,-26442.79,132434,4361052.0,0.314736320814781,151,920725,20260414
301396.SZ,宏景科技,316.74,-3.270728355474112,10.411,214.97,214.97,10.410888546481779,7/5521,214.97,214.97,0,214.97,竞价抢筹,单笔放量10%以上抢筹,看多,295000,63416150.0,8700,1870239.0,295000,63416150.0,0.38774426344191726,33,301396,20260414
688084.SH,晶品特装,68.73,0.8362676056338137,10.316,69.19,69.19,10.315688775510212,8/5521,69.19,69.19,0,69.19,竞价抢筹,单笔放量10%以上抢筹,看多,91939,6361259.4,676,46772.44,91939,6361259.4,0.12151749269545568,17,688084,20260414
603803.SH,瑞斯康达,14.3,-3.8332212508406087,10.026,16.79,16.79,10.026212319790307,9/5521,16.79,16.79,0,16.79,大幅高开,大幅高开10.00%,看多,3738700,62772773.0,-2152900,-36147191.0,3738700,62772773.0,0.879935205400288,17,603803,20260414
002297.SZ,博云新材,24.5,5.557949159844891,10.017,13.29,13.29,10.01655629139071,10/5521,13.29,13.29,0,13.29,大幅高开,大幅高开10.00%,看多,2534540,33684037.0,100537760,1336146830.0,2534540,33684037.0,0.44224719736652573,33,002297,20260414
002023.SZ,海特高新,12.6,3.194103194103184,10.0,12.32,12.32,10.000000000000009,11/5521,12.32,12.32,0,12.32,大幅高开,大幅高开10.00%,看多,4439965,54700369.0,61855135,762055260.0,4439965,54700369.0,0.5992985977982743,33,002023,20260414
002134.SZ,天津普林,25.32,0.7961783439490417,10.0,23.54,23.54,10.000000000000009,11/5521,23.54,23.54,0,23.54,大幅高开,大幅高开10.00%,看多,1942900,45735866.0,-470600,-11077924.0,1942900,45735866.0,0.7882269811178845,33,002134,20260414
600743.SH,华远控股,2.47,2.9166666666666785,9.932,3.21,3.21,9.931506849315074,13/5521,3.21,3.21,0,3.21,大幅高开,大幅高开9.90%,看多,24882300,79872183.0,-8624080,-27683297.0,24882300,79872183.0,1.060580995290998,17,600743,20260414
002885.SZ,京泉华,31.26,1.9902120717781502,9.394,26.9,26.9,9.394062627084176,14/5521,26.9,26.9,0,26.9,竞价抢筹,单笔放量10%以上抢筹,看多,961900,25875110.0,-87947,-2365774.3,961900,25875110.0,0.41657346021355124,33,002885,20260414
002580.SZ,圣阳股份,27.48,-3.9160839160839194,9.148,22.79,22.79,9.147509578544067,15/5521,22.79,22.79,0,22.79,大幅高开,大幅高开9.10%,看多,8326400,189758660.0,-26987,-615033.73,8326400,189758660.0,1.8407441501812358,33,002580,20260414
300137.SZ,先河环保,16.66,-1.361752516281826,8.772,15.5,15.5,8.771929824561408,16/5521,15.5,15.5,0,15.5,大幅高开,大幅高开8.80%,偏多,4322900,67004950.0,-177160,-2745980.0,4322900,67004950.0,0.8155890255107471,33,300137,20260414
002364.SZ,中恒电气,40.79,2.6163522012578593,8.724,42.0,42.0,8.723789800673053,17/5521,42.0,42.0,0,42.0,大幅高开,大幅高开8.70%,看多,17161900,720799800.0,-687475,-28873950.0,17161900,720799800.0,3.0750375163213377,33,002364,20260414
000967.SZ,盈峰环境,13.57,-3.8270729978738425,8.561,11.54,11.54,8.560677328316068,18/5521,11.54,11.54,0,11.54,竞价抢筹,单笔放量10%以上抢筹,看多,4234738,48868877.0,110162,1271269.48,4234738,48868877.0,0.13378102335477488,33,000967,20260414
603682.SH,锦和商管,8.65,2.1251475796930306,7.781,7.48,7.48,7.78097982708934,19/5521,7.48,7.48,0,7.48,大幅高开,大幅高开7.80%,看多,2267200,16958656.0,-96500,-721820.0,2267200,16958656.0,0.47983068783068783,17,603682,20260414
002647.SZ,仁东控股,12.41,-0.9577015163607281,7.611,10.18,10.18,7.610993657505283,20/5521,10.18,10.18,0,10.18,大幅高开,大幅高开7.60%,看多,3902400,39726432.0,-161866,-1647795.9,3902400,39726432.0,0.3843624610814664,33,002647,20260414
300768.SZ,迪普科技,17.22,0.3496503496503422,7.511,17.32,17.32,7.510862818125386,21/5521,17.32,17.32,0,17.32,大幅高开,大幅高开7.50%,看多,182500,3160900.0,7200,124704.0,182500,3160900.0,0.04338341072906074,33,300768,20260414
002321.SZ,华英农业,2.13,0.4716981132075371,7.489,2.44,2.44,7.488986784140961,22/5521,2.44,2.44,0,2.44,大幅高开,大幅高开7.50%,看多,9334700,22776668.0,-1762600,-4300744.0,9334700,22776668.0,0.4394429384104756,33,002321,20260414
300209.SZ,行云科技,17.47,2.583675866118601,7.36,13.42,13.42,7.359999999999989,23/5521,13.42,13.42,0,13.42,大幅高开,大幅高开7.40%,看多,2522800,33855976.0,7200,96624.0,2522800,33855976.0,0.3434437708625278,33,300209,20260414
603629.SH,利通电子,144.41,9.993144946302083,7.32,78.0,78.0,7.319757842597685,24/5521,78.0,78.0,0,78.0,竞价抢筹,单笔放量10%以上抢筹,看多,1194500,93171000.0,29200,2277600.0,1194500,93171000.0,0.4650538053042219,17,603629,20260414
688667.SH,菱电电控,148.26,-4.032623470774819,7.183,144.0,144.0,7.182731671008558,25/5521,144.0,144.0,0,144.0,大幅高开,大幅高开7.20%,看多,94981,13677264.0,-3019,-434736.0,94981,13677264.0,0.18024513953830973,17,688667,20260414
