股票代码,股票简称,最新价,最新涨跌幅,竞价涨幅[20260416],p_open,p_close,chg_pct,涨跌幅:前复权排名[20260416],p_high,p_low,竞价匹配价[20260416],竞价异动类型[20260416],竞价异动说明[20260416],集合竞价评级[20260416],竞价量[20260416],竞价金额[20260416],竞价未匹配量[20260416],竞价未匹配金额[20260416],开盘价:前复权[20260416],最高价:前复权[20260416],最低价:前复权[20260416],收盘价:前复权[20260416],振幅[20260416],成交量[20260416],market_code,code,date
301666.SZ,大普微,318.0,7.4324324324324325,349.718,207.23,244.55,430.70746528,1/5521,255,199.99,207.23,竞价抢筹,单笔放量10%以上抢筹,看多,1755957,363886970.0,143,29633.89,207.23,255,199.99,244.55,119.37934,2.1993333E7,33,301666,20260416
603293.SH,埃泰克,49.73,0.060362173038217365,112.004,71,71.02,112.06330248,2/5521,85.2,71,71.0,大买单试盘,大买单试盘390万元,-,952039,67594769.0,74361,5279631.0,71,85.2,71,71.02,42.400716,2.5230806E7,17,603293,20260416
920177.BJ,恒道科技,34.41,4.74885844748857,83.486,40,36.58,67.79816514,3/5521,41.01,36.54,40.0,,,,436499,17459960.0,27042,1081680.0,40,41.01,36.54,36.58,20.504587,1.0624316E7,151,920177,20260416
920249.BJ,利尔达,9.98,2.044989775051136,1.774,8.03,9.77,23.82762991,4/5521,10.25,8.03,8.03,,,,86877,697622.31,13584,109079.52,8.03,10.25,8.03,9.77,28.136882,3.6088003E7,151,920249,20260416
300027.SZ,ST华谊,1.82,4.5977011494252915,20.115,2.09,2.09,20.11494253,5/5521,2.09,2,2.09,大幅高开,大幅高开20.10%,看多,32735998,68418236.0,279928300,585050150.0,2.09,2.09,2,2.09,5.172413,3.8766824E8,33,300027,20260416
300798.SZ,锦鸡股份,10.19,-4.048964218455741,0.984,11.29,13.42,20.03577818,6/5521,13.42,11.08,11.29,竞价抢筹,单笔放量10%以上抢筹,看多,1099000,12407710.0,1100,12419.0,11.29,13.42,11.08,13.42,20.930232,8.1671005E7,33,300798,20260416
301603.SZ,乔锋智能,108.85,-3.458980044345903,5.721,79.65,90.41,20.00265463,9/5521,90.41,79.2,79.65,竞价抢筹,单笔放量10%以上抢筹,看多,112100,8928765.0,1700,135405.0,79.65,90.41,79.2,90.41,14.879214,1.2315391E7,33,301603,20260416
301396.SZ,宏景科技,316.74,-3.270728355474112,2.832,248.01,289.42,20.00165851,10/5521,289.42,248.01,248.01,竞价抢筹,单笔放量10%以上抢筹,看多,130400,32340504.0,4800,1190448.0,248.01,289.42,248.01,289.42,17.169748,1.5051058E7,33,301396,20260416
688668.SH,鼎通科技,220.0,0.4336909381419715,3.654,179,207.23,20.00115814,11/5521,207.23,176.5,179.0,竞价抢筹,单笔放量10%以上抢筹,看多,272175,48719325.0,-16830,-3012570.0,179,207.23,176.5,207.23,17.794892,1.3172928E7,17,688668,20260416
300905.SZ,宝丽迪,68.12,0.029368575624097257,8.782,41.99,46.32,20,12/5521,46.32,41.99,41.99,竞价抢筹,单笔放量10%以上抢筹,看多,335700,14096043.0,-42600,-1788774.0,41.99,46.32,41.99,46.32,11.217616,9682708,33,300905,20260416
688287.SH,*ST观典,0.93,0.0,12.245,2.2,2.35,19.89795918,14/5521,2.35,2.05,2.2,大幅高开,大幅高开12.20%,看多,3669404,8072688.8,-32835,-72237.0,2.2,2.35,2.05,2.35,15.306122,6.3876957E7,22,688287,20260416
301382.SZ,蜂助手,44.0,2.972150713784234,5.371,36.88,40.49,15.68571429,15/5521,42,36.88,36.88,竞价抢筹,单笔放量10%以上抢筹,看多,335710,12380984.8,1890,69703.2,36.88,42,36.88,40.49,14.628571,5.3087005E7,33,301382,20260416
300088.SZ,长信科技,6.55,-2.5297619047619038,0.147,6.82,7.77,14.0969163,18/5521,8.17,6.82,6.82,竞价抢筹,单笔放量10%以上抢筹,看多,5369500,36619990.0,-17026,-116117.32,6.82,8.17,6.82,7.77,19.823788,7.54250724E8,33,300088,20260416
300587.SZ,天铁科技,6.16,0.6535947712418306,0.577,5.23,5.93,14.03846154,19/5521,6.04,5.18,5.23,,,,18700,97801.0,1700,8891.0,5.23,6.04,5.18,5.93,16.538461,7.1951146E7,33,300587,20260416
300857.SZ,协创数据,259.7,-4.441255473378222,0.467,282,319.0,13.64850903,20/5521,320.92,282,282.0,竞价抢筹,单笔放量10%以上抢筹,看多,570175,160789350.0,144725,40812450.0,201.18571429,228.98571429,201.18571429,227.61,13.86583,3.3724262E7,33,300857,20260416
300938.SZ,信测标准,56.85,4.696132596685091,0.966,45.99,51.19,12.3819978,21/5521,54.66,44.67,45.99,,,,90400,4157496.0,2100,96579.0,45.99,54.66,44.67,51.19,21.931942,3.1149583E7,33,300938,20260416
301086.SZ,鸿富瀚,197.06,3.280922431865823,0.014,146.59,164.61,12.30811216,22/5521,164.87,145.48,146.59,,,,3600,527724.0,500,73295.0,146.59,164.87,145.48,164.61,13.229173,3884213,33,301086,20260416
301030.SZ,仕净科技,,,0.295,10.2,11.4,12.09439528,24/5521,11.88,10.15,10.2,,,,14300,145860.0,-4600,-46920.0,10.2,11.88,10.15,11.4,17.010816,2.3605127E7,33,301030,20260416
300936.SZ,中英科技,72.93,3.7116040955631595,0.302,66.4,74.1,11.93353474,25/5521,75.47,65.2,66.4,,,,23900,1586960.0,1000,66400.0,66.4,75.47,65.2,74.1,15.513595,8986747,33,300936,20260416
300853.SZ,申昊科技,29.88,-2.4167210973220183,0.048,21.06,23.55,11.87648456,26/5521,23.64,20.82,21.06,,,,4000,84240.0,0,0.0,21.06,23.64,20.82,23.55,13.396674,1.2333558E7,33,300853,20260416
688159.SH,有方科技,47.99,9.892374627891,0.538,43,47.84,11.85410334,27/5521,50,42.73,43.0,,,,10114,434902.0,-2439,-104877.0,43,50,42.73,47.84,16.997895,1.0350818E7,17,688159,20260416
300270.SZ,中威电子,13.36,3.9688715953307376,0.195,10.27,11.45,11.70731707,28/5521,11.66,10.2,10.27,,,,10400,106808.0,500,5135.0,10.27,11.66,10.2,11.45,14.243902,2.46114E7,33,300270,20260416
