股票代码,股票简称,p_925,p_open,p_close,chg_pct,涨跌幅:前复权排名[20260430],p_high,p_low,分时开盘价:不复权[20260430 09:25],分时最高价:不复权[20260430 09:25],分时最低价:不复权[20260430 09:25],分时振幅[20260430 09:25],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code,date
301599.SZ,理奇智能,48.0,48,62.4,348.59813084,1/5521,62.4,47.5,48.0,48.0,48.0,0,48,62.4,47.5,62.4,107.117181,4.2250787E7,33,301599,20260430
920125.BJ,鸿仕达,70.48,70.48,87.2,29.99403697,2/5521,87.2,70,70.48,70.48,70.48,0,70.48,87.2,70,87.2,25.641025,4894638,151,920125,20260430
920765.BJ,美之高,14.0,14,16.39,24.73363775,3/5521,17.08,13.92,14.0,14.0,14.0,0,14,17.08,13.92,16.39,24.048706,7983363,151,920765,20260430
300083.SZ,创世纪,9.17,9.17,10.19,20.02355713,4/5521,10.19,9.17,9.17,9.17,9.17,0,9.17,10.19,9.17,10.19,12.014134,4.00320977E8,33,300083,20260430
300632.SZ,光莆股份,24.47,24.47,24.47,20.00980873,5/5521,24.47,24,24.47,24.47,24.47,0,24.47,24.47,24,24.47,2.305051,3.6827802E7,33,300632,20260430
688400.SH,凌云光,50.91,50.91,59.32,20.00809225,6/5521,59.32,50.4,50.91,50.91,50.91,0,50.91,59.32,50.4,59.32,18.045721,4.016277E7,17,688400,20260430
688699.SH,明微电子,50.93,50.93,55.43,20.00432994,7/5521,55.43,50.93,50.93,50.93,50.93,0,50.93,55.43,50.93,55.43,9.742368,5827561,17,688699,20260430
688256.SH,寒武纪,1475.0,1475,1699.96,20.00028236,8/5521,1699.96,1475,1475.0,1475.0,1475.0,0,1475,1699.96,1475,1699.96,15.87994,1.7884265E7,17,688256,20260430
688531.SH,日联科技,110.0,110,120.6,20,9/5521,120.6,105.58,110.0,110.0,110.0,0,110,120.6,105.58,120.6,14.945273,2.4116015E7,17,688531,20260430
688521.SH,芯原股份,260.0,260,280.88,19.99829111,10/5521,280.88,260,260.0,260.0,260.0,0,260,280.88,260,280.88,8.920408,4.0905185E7,17,688521,20260430
688155.SH,先惠技术,100.0,100,103.57,19.99768277,11/5521,103.57,96.81,100.0,100.0,100.0,0,100,103.57,96.81,103.57,7.832232,7057207,17,688155,20260430
300885.SZ,海昌新材,24.5,24.5,28.64,19.98324256,12/5521,28.64,24.33,24.5,24.5,24.5,0,24.5,28.64,24.33,28.64,18.056137,2.7909813E7,33,300885,20260430
688655.SH,迅捷兴,39.2,39.2,45.53,18.59859338,13/5521,46.07,39.2,39.2,39.2,39.2,0,39.2,46.07,39.2,45.53,17.895285,2.4891891E7,17,688655,20260430
