序号,行业,行业指数,行业-涨跌幅,流入资金,流出资金,净额,公司家数,领涨股,领涨股-涨跌幅,当前价
1,赛马概念,1330.9,3.69,1.77,3.3,-1.53,4,中体产业,10.03,11.85
2,国家大基金持股,2455.66,3.55,505.51,460.19,45.32,48,芯原股份,20.0,280.88
3,科创次新股,706.195,3.43,105.89,87.5,18.38,23,有研复材,12.05,24.08
4,汽车芯片,1363.15,2.42,832.82,747.47,85.35,140,寒武纪,20.0,1699.96
5,足球概念,1765.13,2.12,52.5,44.43,8.07,38,金陵体育,13.24,36.08
6,存储芯片,2323.29,2.12,1218.12,1151.27,66.85,179,灿芯股份,15.85,122.8
7,先进封装,2350.21,2.0,880.61,860.72,19.89,165,鸿仕达,29.99,87.2
8,中芯国际概念,2844.3,1.81,557.14,509.52,47.62,89,灿芯股份,15.85,122.8
9,铜缆高速连接,3026.02,1.71,271.63,268.82,2.81,45,瑞可达,13.61,105.0
10,MCU芯片,1747.84,1.66,395.38,366.58,28.8,93,芯原股份,20.0,280.88
11,第三代半导体,2415.5,1.55,679.73,665.01,14.72,163,光莆股份,20.01,24.47
12,卫星导航,5101.61,1.52,838.2,753.38,84.82,275,海昌新材,19.98,28.64
13,航空发动机,3602.04,1.51,223.47,214.49,8.98,96,航宇科技,13.47,68.48
14,新股与次新股,16407.4,1.43,152.95,141.05,11.9,128,理奇智能,348.6,62.4
15,海南自贸区,1715.0,1.37,64.67,61.15,3.53,29,海德股份,10.07,6.67
16,TOPCON电池,1252.0,1.36,194.78,207.21,-12.44,82,英杰电气,12.88,49.25
17,BC电池,1357.32,1.36,128.31,134.58,-6.27,50,福达合金,9.99,46.68
18,工业母机,2072.88,1.36,256.82,259.98,-3.16,111,创世纪,20.02,10.19
19,新型烟草(电子烟),2125.89,1.33,134.16,137.15,-2.99,53,胜蓝股份,12.78,82.34
20,成飞概念,1980.64,1.31,65.69,65.9,-0.21,43,联合精密,9.99,38.41
21,芯片概念,4899.54,1.31,3684.56,3605.09,79.46,869,鸿仕达,29.99,87.2
22,租售同权,848.761,1.29,26.54,23.22,3.32,28,三湘印象,6.36,4.85
23,太赫兹,2412.75,1.28,125.27,125.92,-0.66,21,陕西华达,10.62,70.2
24,PET铜箔,1973.65,1.27,148.67,158.44,-9.78,47,光莆股份,20.01,24.47
25,上海自贸区,4519.5,1.23,179.26,145.91,33.35,58,芯原股份,20.0,280.88
26,大飞机,4142.25,1.22,343.92,330.92,13.0,152,航宇科技,13.47,68.48
27,一体化压铸,1313.68,1.18,89.78,91.61,-1.82,54,创世纪,20.02,10.19
28,机器视觉,2061.49,1.15,439.04,424.35,14.68,245,凌云光,20.01,59.32
29,军民融合,1758.6,1.15,471.99,417.6,54.39,245,上海瀚讯,13.81,43.42
30,AI手机,2093.43,1.13,305.16,324.08,-18.92,38,芯原股份,20.0,280.88
31,华为海思概念股,4151.83,1.12,223.38,215.59,7.8,50,芯源微,13.22,232.11
32,华为欧拉,1621.77,1.12,73.87,68.75,5.12,46,景嘉微,6.9,65.98
33,同花顺新质50,2536.06,1.1,598.85,602.19,-3.35,50,寒武纪,20.0,1699.96
34,中船系,1804.29,1.1,60.84,55.93,4.9,20,中船科技,6.05,13.68
35,新型工业化,1802.7,1.09,430.98,420.67,10.31,286,创世纪,20.02,10.19
36,军工信息化,1917.37,1.08,156.77,133.84,22.93,111,上海瀚讯,13.81,43.42
37,Web3.0,2011.89,1.08,111.28,121.08,-9.81,65,凌云光,20.01,59.32
38,家用电器,4355.52,1.08,359.96,346.24,13.72,178,光莆股份,20.01,24.47
39,养鸡,1291.27,1.06,14.97,12.21,2.76,22,华统股份,4.01,12.72
40,HJT电池,3457.7,1.06,146.04,156.96,-10.93,65,福达合金,9.99,46.68
41,商业航天,2430.55,1.03,1387.35,1320.79,66.55,491,日联科技,20.0,120.6
42,高端装备,3652.59,1.02,752.78,759.68,-6.9,362,创世纪,20.02,10.19
43,体育产业,1136.31,1.02,95.31,98.08,-2.76,131,金陵体育,13.24,36.08
44,光刻机,2453.32,1.02,149.1,157.54,-8.45,47,百傲化学,10.0,22.66
45,减速器,2044.57,1.01,157.57,158.8,-1.23,133,海昌新材,19.98,28.64
46,猪肉,2653.72,1.01,36.44,31.17,5.26,32,天域生物,10.07,7.54
47,PM2.5,1891.86,1.0,38.1,32.99,5.11,36,*ST动力,12.36,2.0
48,拼多多概念,1833.51,0.99,30.57,34.38,-3.82,40,恒大高新,10.0,8.36
49,钙钛矿电池,1255.13,0.98,257.54,273.33,-15.79,90,大胜达,9.99,17.18
50,小米概念,2163.57,0.97,1071.31,1082.43,-11.12,369,创世纪,20.02,10.19
51,PVDF概念,1510.32,0.97,55.45,61.27,-5.82,18,盛景微,9.99,45.25
52,人形机器人,2551.66,0.96,1080.9,1112.6,-31.7,434,创世纪,20.02,10.19
53,装配式建筑,1083.04,0.96,68.68,66.14,2.54,107,华神科技,10.12,4.57
54,军工,2602.73,0.96,1306.58,1258.05,48.53,602,创世纪,20.02,10.19
55,注册制次新股,201.873,0.96,152.95,141.05,11.9,81,理奇智能,348.6,62.4
56,培育钻石,2108.74,0.95,37.37,37.0,0.37,18,博云新材,5.56,24.5
57,消费电子概念,3240.76,0.94,1435.2,1413.23,21.96,479,鸿仕达,29.99,87.2
58,MiniLED,2590.87,0.93,380.62,403.92,-23.3,102,光莆股份,20.01,24.47
59,无线充电,2185.56,0.92,192.8,184.63,8.17,57,创世纪,20.02,10.19
60,汽车拆解概念,1815.01,0.92,60.11,89.46,-29.35,48,亚通精工,10.02,28.33
61,专精特新,1750.45,0.89,1566.76,1557.29,9.46,1179,凌云光,20.01,59.32
62,星闪概念,1497.9,0.89,136.44,120.48,15.96,75,翱捷科技,12.51,101.46
63,乳业,2163.53,0.88,36.62,36.43,0.19,35,皇氏集团,6.8,4.4
64,国产航母,2332.1,0.88,134.8,115.06,19.74,36,中国一重,9.93,4.54
65,空间计算,1374.43,0.87,57.56,60.87,-3.31,62,凌云光,20.01,59.32
66,智能穿戴,4474.43,0.87,825.56,828.93,-3.37,235,创世纪,20.02,10.19
67,核污染防治,1683.42,0.85,71.35,67.36,3.99,59,盛视科技,9.99,53.83
68,6G概念,2577.12,0.84,543.65,526.74,16.9,94,瑞可达,13.61,105.0
69,3D打印,4732.93,0.84,294.69,306.89,-12.2,133,森远股份,11.0,10.8
70,特斯拉概念,6012.4,0.83,878.69,888.51,-9.82,247,日联科技,20.0,120.6
71,时空大数据,1662.92,0.83,75.22,74.35,0.88,65,航宇微,6.74,17.9
