序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,涨停 2026.04.30,涨停首次封板时间 2026.04.30,涨停封单额(元) 2026.04.30,涨停封单量(股) 2026.04.30,首板 2026.04.30,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30,CHOICE_INNER_CODE,IN_OPTIONAL
1,603828,*ST利达,SH,4.79,5.04,涨停,14:48:53,80.28万,16.76万,首板,0.230,4.79,4.33,2.10,1.89,1252.94万,5578.86万,234.25,5.5749,28.55亿,28.55亿,1000305041,False
2,002929,润建股份,SZ,59.68,10.01,涨停,14:40:15,8274.12万,138.64万,首板,5.430,59.68,55.66,14.34,2.09,3019.80万,17.64亿,336.34,2.6744,169.54亿,125.66亿,1000734417,False
3,600400,红豆股份,SH,2.76,9.96,涨停,14:34:54,7411.62万,2685.37万,首板,0.250,2.76,2.49,8.35,1.67,1.91亿,5.09亿,282.30,4.5593,63.24亿,63.24亿,1000008764,False
4,603687,大胜达,SH,17.18,9.99,涨停,14:25:33,1.53亿,888.61万,首板,1.560,17.18,15.60,12.64,0.96,6952.51万,11.54亿,107.07,2.8877,94.50亿,94.50亿,1001247940,False
5,001215,千味央厨,SZ,46.86,10.00,涨停,14:22:24,7835.93万,167.22万,首板,4.260,46.86,41.80,10.10,1.02,978.54万,4.35亿,50.36,2.4494,45.53亿,45.41亿,1002281110,False
6,002685,华东重机,SZ,9.15,9.98,涨停,14:15:03,5405.79万,590.80万,首板,0.830,9.15,8.29,13.76,2.22,1.39亿,12.21亿,42.58,5.5901,92.20亿,92.19亿,1000008960,False
7,603389,*ST亚振,SH,61.82,4.99,涨停,13:59:11,897.50万,14.52万,首板,2.940,61.82,58.81,1.12,1.21,294.69万,1.78亿,-274.65,81.0080,162.43亿,162.43亿,1000303917,False
8,001268,联合精密,SZ,38.41,9.99,涨停,13:50:00,1.02亿,264.54万,首板,3.490,38.41,34.92,7.08,1.19,477.17万,1.77亿,-591.36,4.0711,41.46亿,25.90亿,1002650676,False
9,002977,*ST天箭,SZ,27.11,5.00,涨停,13:45:48,631.91万,23.31万,首板,1.290,27.11,25.56,8.68,1.22,578.28万,1.53亿,208.84,3.8288,32.56亿,18.07亿,1001606678,False
10,688256,寒武纪,SH,1699.96,20.00,涨停,13:44:38,7.54亿,44.35万,首板,283.330,1699.96,1475.00,4.24,2.04,1788.43万,284.66亿,176.87,58.5716,7168.48亿,7168.48亿,1002195026,False
11,000833,粤桂股份,SZ,31.72,9.99,涨停,13:41:42,1.06亿,333.25万,首板,2.880,31.72,28.93,14.37,1.29,6518.42万,19.73亿,29.49,6.1224,254.42亿,143.91亿,1000000356,False
12,605222,起帆电缆,SH,36.37,10.01,涨停,13:41:13,4900.49万,134.74万,首板,3.310,36.37,32.76,5.10,0.93,2106.03万,7.28亿,39.38,3.1906,150.17亿,150.17亿,1001867282,False
13,603375,盛景微,SH,45.25,9.99,涨停,13:40:33,1189.17万,26.28万,首板,4.110,45.25,40.99,9.64,2.75,614.82万,2.70亿,461.72,2.9412,45.55亿,28.86亿,1002662534,False
14,002158,汉钟精机,SZ,27.61,10.00,涨停,13:32:36,1.06亿,384.13万,首板,2.510,27.61,25.03,2.89,2.17,1539.90万,4.10亿,30.36,3.3095,147.64亿,147.32亿,1000007697,False
15,000007,全新好,SZ,15.51,10.00,涨停,13:32:33,4057.26万,261.59万,首板,1.410,15.51,14.08,3.35,1.72,1159.43万,1.73亿,-618.86,30.0036,53.73亿,53.73亿,1000001643,False
16,002989,中天精装,SZ,29.21,10.02,涨停,13:27:15,7089.09万,242.69万,首板,2.660,29.21,27.55,4.91,1.83,899.30万,2.56亿,-164.27,4.2257,58.89亿,53.55亿,1000877426,False
17,603717,天域生物,SH,7.54,10.07,涨停,13:19:27,9339.27万,1238.63万,首板,0.690,7.54,6.89,6.54,2.43,1896.88万,1.38亿,-52.00,5.7201,21.88亿,21.88亿,1000501657,False
18,600714,金瑞矿业,SH,22.10,10.00,涨停,13:13:15,9181.00万,415.43万,-,2.010,22.10,20.60,16.46,3.11,4744.12万,10.18亿,-1470.89,8.4583,63.69亿,63.69亿,1000001833,False
19,688400,凌云光,SH,59.32,20.01,涨停,13:11:32,8424.60万,142.02万,首板,9.890,59.32,50.40,8.71,2.40,4016.28万,21.98亿,35.58,4.9818,284.28亿,273.45亿,1002510656,False
20,603897,长城科技,SH,52.36,10.00,涨停,13:03:12,4710.31万,89.96万,首板,4.760,52.36,47.80,4.94,1.11,1019.22万,5.14亿,60.58,4.2627,108.09亿,108.09亿,1000944163,False
21,603360,百傲化学,SH,22.66,10.00,涨停,13:02:28,9817.30万,433.24万,首板,2.060,22.66,20.49,6.08,2.51,4295.86万,9.32亿,201.77,11.3492,160.03亿,160.03亿,1000408497,False
22,605376,博迁新材,SH,131.58,10.00,涨停,11:26:57,1555.28万,11.82万,首板,11.960,131.58,119.70,6.27,1.36,1641.31万,21.25亿,120.14,19.5542,344.21亿,344.21亿,1001898941,False
23,002870,香山股份,SZ,39.58,10.01,涨停,11:16:03,7128.36万,180.10万,首板,3.600,39.58,36.22,8.13,4.74,1048.03万,4.06亿,-124.80,3.1947,52.28亿,51.04亿,1000495831,False
24,688521,芯原股份,SH,280.88,20.00,涨停,11:09:04,3.47亿,123.70万,首板,46.810,280.88,260.00,7.78,1.74,4090.52万,111.24亿,-108.35,46.9396,1477.19亿,1477.19亿,1001855441,False
25,000628,高新发展,SZ,66.18,10.01,涨停,10:51:45,1.07亿,161.13万,首板,6.020,66.18,57.90,9.70,1.11,1864.74万,11.72亿,3256.25,10.6009,233.14亿,127.22亿,1000004186,False
26,920125,鸿仕达,BJ,87.20,29.99,涨停,10:49:18,3409.01万,39.09万,-,20.120,87.20,70.00,29.70,0.52,489.46万,3.81亿,861.25,7.1741,48.97亿,14.37亿,1004243967,False
27,601106,中国一重,SH,4.54,9.93,涨停,10:36:37,1.19亿,2625.26万,首板,0.410,4.54,4.08,2.40,2.81,1.65亿,7.17亿,4008.60,6.0277,311.34亿,311.34亿,1000007891,False
28,300885,海昌新材,SZ,28.64,19.98,涨停,10:35:54,9503.70万,331.83万,首板,4.770,28.64,24.33,16.71,4.29,2790.98万,7.51亿,73.77,7.7692,71.07亿,47.83亿,1001861280,False
29,603559,ST通脉,SH,7.64,4.95,涨停,10:31:29,621.09万,81.29万,首板,0.360,7.64,7.21,2.17,1.69,870.37万,6565.19万,113.73,3.9163,30.66亿,30.66亿,1000326755,False
30,603131,上海沪工,SH,22.52,10.01,涨停,10:29:26,1.58亿,700.61万,首板,2.050,22.52,20.43,4.40,1.92,1483.14万,3.24亿,161.17,4.5950,75.87亿,75.87亿,1000316527,False
31,002149,西部材料,SZ,63.51,9.99,涨停,10:29:24,1.73亿,272.28万,首板,5.770,63.51,57.46,15.66,0.94,7642.53万,46.84亿,842.86,8.3272,310.06亿,310.02亿,1000006775,False
32,002785,万里石,SZ,51.16,10.00,涨停,10:28:00,949.53万,18.56万,首板,4.650,51.16,47.30,12.14,2.05,2349.71万,11.76亿,4824.20,14.5784,115.94亿,98.99亿,1000323784,False
