板块,涨停家数,≥2板,≥3板,龙头连板,主力(亿),成交额(亿),5日均(%),量比均,综合分,成员(Top5)
白酒概念,2,1,1,5,2.68,0.0,0.0,3.47,85.4,002342巨力索具(1板); 600381*ST春天(5板)
芯片概念,4,1,1,3,3.48,0.0,0.0,14.99,81.0,002081金螳螂(3板); 002338奥普光电(1板); 301486致尚科技(1板); 688661和林微纳(1板)
数据中心,2,1,1,3,3.29,0.0,0.0,25.15,70.6,002081金螳螂(3板); 301486致尚科技(1板)
PPP概念,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
光伏建筑一体化,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
人工智能,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
智能家居,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
第三代半导体,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
长三角一体化,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
数字孪生,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
装配式建筑,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
新型城镇化,1,1,1,3,2.21,0.0,0.0,48.3,63.4,002081金螳螂(3板)
高端装备,2,0,0,1,3.74,0.0,0.0,2.33,25.5,002342巨力索具(1板); 301486致尚科技(1板)
商业航天,2,0,0,1,2.72,0.0,0.0,3.26,23.4,002338奥普光电(1板); 002342巨力索具(1板)
军工,2,0,0,1,2.72,0.0,0.0,3.26,23.4,002338奥普光电(1板); 002342巨力索具(1板)
消费电子概念,2,0,0,1,1.2,0.0,0.0,3.89,20.4,301486致尚科技(1板); 688661和林微纳(1板)
传感器,2,0,0,1,0.18,0.0,0.0,4.82,18.4,002338奥普光电(1板); 688661和林微纳(1板)
机器人概念,2,0,0,1,0.18,0.0,0.0,4.82,18.4,002338奥普光电(1板); 688661和林微纳(1板)
海工装备,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
光伏概念,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
抽水蓄能,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
风电,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
雄安新区,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
水利,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
核电,1,0,0,1,2.65,0.0,0.0,2.65,18.3,002342巨力索具(1板)
中俄贸易概念,1,0,0,1,1.23,0.0,0.0,15.42,15.5,000980众泰汽车(1板)
新能源汽车,1,0,0,1,1.23,0.0,0.0,15.42,15.5,000980众泰汽车(1板)
百度概念,1,0,0,1,1.23,0.0,0.0,15.42,15.5,000980众泰汽车(1板)
富士康概念,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
光纤概念,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
阿里巴巴概念,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
抖音概念(字节概念),1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
华为昇腾,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
5G,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
新型工业化,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
比亚迪概念,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
虚拟现实,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
华为概念,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
东数西算(算力),1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
粤港澳大湾区,1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
MR(混合现实),1,0,0,1,1.09,0.0,0.0,2.01,15.2,301486致尚科技(1板)
英伟达概念,1,0,0,1,0.11,0.0,0.0,5.77,13.2,688661和林微纳(1板)
证金持股,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
医疗器械概念,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
低空经济,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
机器视觉,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
同花顺新质50,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
军民融合,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
碳纤维,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
工业母机,1,0,0,1,0.07,0.0,0.0,3.87,13.1,002338奥普光电(1板)
IP经济(谷子经济),1,0,0,1,0.02,0.0,0.0,88.16,13.0,000802北京文化(1板)
旅游概念,1,0,0,1,0.02,0.0,0.0,88.16,13.0,000802北京文化(1板)
文化传媒概念,1,0,0,1,0.02,0.0,0.0,88.16,13.0,000802北京文化(1板)
