排名,板块,涨停家数,≥2板,≥3板,龙头连板,主力净流入(亿),5日涨幅均值(%),量比均值,成交额合计(亿),成员数(涨停的),成员名
1,军工,15,0,0,1,61.10,9.55,1.96,268.86,15,300083创世纪; 002929润建股份; 603131上海沪工; 603698航天工程; 605222起帆电缆
2,人工智能,14,0,0,1,59.47,14.90,2.07,604.79,14,300083创世纪; 688400凌云光; 688155先惠技术; 688256寒武纪; 688521芯原股份
3,国产芯片,16,0,0,1,59.28,11.62,1.82,594.37,16,688400凌云光; 688256寒武纪; 688521芯原股份; 688699明微电子; 600246万通发展
4,百日新高,21,0,0,1,58.73,20.09,1.90,603.14,21,300083创世纪; 688400凌云光; 688155先惠技术; 688256寒武纪; 600322津投城开
5,通信技术,8,0,0,1,52.56,12.75,2.06,237.30,8,300083创世纪; 688400凌云光; 600246万通发展; 002929润建股份; 000066中国长城
6,5G概念,8,0,0,1,49.77,11.11,1.98,215.98,8,300083创世纪; 600246万通发展; 002929润建股份; 000066中国长城; 002149西部材料
7,商业航天,11,0,0,1,46.17,5.51,1.76,189.91,11,300885海昌新材; 600246万通发展; 603131上海沪工; 605222起帆电缆; 001316润贝航科
8,卫星导航,9,0,0,1,42.77,5.33,1.69,174.94,9,300885海昌新材; 600246万通发展; 603131上海沪工; 605123派克新材; 000066中国长城
9,电池技术,9,0,0,1,41.98,13.80,1.58,220.49,9,688155先惠技术; 603717天域生物; 002158汉钟精机; 002591恒大高新; 605376博迁新材
10,数字经济,13,0,0,1,41.71,13.29,1.74,176.25,13,688400凌云光; 600246万通发展; 600158中体产业; 002235安妮股份; 002181粤传媒
11,东数西算,4,0,0,1,39.88,18.66,1.81,496.75,4,688256寒武纪; 688521芯原股份; 002929润建股份; 000066中国长城
12,消费电子概念,6,0,0,1,39.45,18.16,2.83,155.73,6,300083创世纪; 688400凌云光; 300885海昌新材; 000066中国长城; 002640跨境通
13,华为概念,7,0,0,1,39.19,16.95,2.42,171.92,7,300083创世纪; 688400凌云光; 002929润建股份; 002591恒大高新; 000066中国长城
14,粤港澳大湾区,8,0,0,1,38.15,18.04,1.95,162.09,8,300083创世纪; 002989中天精装; 002181粤传媒; 000007全新好; 000066中国长城
15,锂电池概念,12,0,0,1,38.12,17.18,1.71,236.66,12,688400凌云光; 688155先惠技术; 000790华神科技; 603717天域生物; 002591恒大高新
16,海工装备,5,0,0,1,36.57,8.24,1.46,146.17,5,603131上海沪工; 605222起帆电缆; 605123派克新材; 000066中国长城; 002149西部材料
17,国产操作系统,3,0,0,1,36.34,24.07,3.44,408.27,3,300083创世纪; 688256寒武纪; 000066中国长城
18,数据中心,10,0,0,1,34.91,15.91,1.49,429.53,10,688400凌云光; 688256寒武纪; 600158中体产业; 002929润建股份; 605222起帆电缆
19,液冷概念,2,0,0,1,33.15,21.87,4.14,123.61,2,300083创世纪; 000066中国长城
20,军民融合,6,0,0,1,32.61,8.34,1.69,124.15,6,603131上海沪工; 603698航天工程; 002591恒大高新; 000066中国长城; 601106中国一重
21,深圳特区,8,0,0,1,32.11,18.07,1.47,152.11,8,688699明微电子; 002763汇洁股份; 002989中天精装; 000007全新好; 000066中国长城
22,DeepSeek概念,6,0,0,1,30.37,10.68,1.51,138.03,6,688155先惠技术; 002929润建股份; 000066中国长城; 002990盛视科技; 603687大胜达
23,机器人概念,18,0,0,1,29.49,10.83,2.32,157.94,18,300083创世纪; 688400凌云光; 688155先惠技术; 300885海昌新材; 603190亚通精工
24,信创,5,0,0,1,29.32,11.78,2.20,123.36,5,002870香山股份; 002929润建股份; 000066中国长城; 002990盛视科技; 002685华东重机
25,区块链,4,0,0,1,29.17,12.62,1.66,121.46,4,002235安妮股份; 002929润建股份; 000066中国长城; 600208衢州发展
26,智慧城市,7,0,0,1,29.06,14.29,1.16,122.64,7,000628高新发展; 002929润建股份; 002591恒大高新; 000066中国长城; 002990盛视科技
27,充电桩,6,0,0,1,28.11,15.04,2.29,120.83,6,300885海昌新材; 002870香山股份; 002929润建股份; 605222起帆电缆; 000066中国长城
28,参股券商,4,0,0,1,27.88,15.28,1.40,106.31,4,002181粤传媒; 000066中国长城; 601086国芳集团; 600208衢州发展
29,大数据,6,0,0,1,27.60,14.29,1.73,121.32,6,688155先惠技术; 002235安妮股份; 002929润建股份; 000066中国长城; 600476*ST湘邮
30,中字头,3,0,0,1,27.46,13.98,1.77,98.34,3,600158中体产业; 000066中国长城; 601106中国一重
31,网络安全,3,0,0,1,27.19,16.54,1.51,101.16,3,002235安妮股份; 000066中国长城; 002990盛视科技
32,中国AI 50,2,0,0,1,26.37,25.45,1.71,367.87,2,688256寒武纪; 000066中国长城
33,车联网(车路云),4,0,0,1,25.45,15.02,1.16,97.55,4,688155先惠技术; 000066中国长城; 002990盛视科技; 600476*ST湘邮
