板块,板块涨幅,板块净额(亿),公司家数,涨停家数,≥2板,≥3板,龙头连板,涨停股主力(亿),综合分,领涨股,领涨股-涨跌幅
芯片概念,1.31,79.46,869,14,2,1,8,11.69,257.39,鸿仕达,29.99
卫星导航,1.52,84.82,275,9,0,0,1,6.319999999999999,142.38,海昌新材,19.98
第三代半导体,1.55,14.72,163,4,1,1,8,0.0,133.37,光莆股份,20.01
商业航天,1.03,66.55,491,11,0,0,1,8.53,132.64000000000001,日联科技,20.0
装配式建筑,0.96,2.54,107,4,2,1,8,0.0,129.42,华神科技,10.12
军工,0.96,48.53,602,14,0,0,1,18.89,129.41,创世纪,20.02
人工智能,0.58,-33.16,1061,11,2,1,8,15.99,127.58,创世纪,20.02
新型城镇化,0.46,-9.1,218,4,2,1,8,0.0,116.28,农尚环境,13.27
汽车芯片,2.42,85.35,140,3,0,0,1,3.19,115.61,寒武纪,20.0
数字孪生,0.6,-1.69,194,4,1,1,8,0.0,114.11,润建股份,10.01
PPP概念,-0.02,-9.28,200,4,1,1,8,0.0,104.66,农尚环境,13.27
智能家居,0.68,-2.3,286,2,1,1,8,0.0,103.74000000000001,金螳螂,10.07
存储芯片,2.12,66.85,179,2,0,0,1,3.35,91.21,灿芯股份,15.85
军民融合,1.15,54.39,245,4,0,0,1,6.07,85.84,上海瀚讯,13.81
长三角一体化,0.52,-29.97,258,3,1,1,8,3.62,80.59,金螳螂,10.07
光伏建筑一体化,-0.05,-29.72,133,2,1,1,8,0.0,74.13,金螳螂,10.07
国家大基金持股,3.55,45.32,48,1,0,0,1,0.0,68.97,芯原股份,20.0
国产操作系统,0.42,48.75,132,2,0,0,1,3.19,68.01,寒武纪,20.0
无人机,0.72,42.05,455,3,0,0,1,12.8,67.21,创世纪,20.02
中芯国际概念,1.81,47.62,89,0,0,0,0,0.0,53.05,灿芯股份,15.85
消费电子概念,0.94,21.96,479,4,0,0,1,14.47,52.78,鸿仕达,29.99
物业管理,0.63,-5.91,178,6,1,0,2,3.35,51.980000000000004,津投城开,10.08
上海自贸区,1.23,33.35,58,1,0,0,1,0.0,50.04,芯原股份,20.0
先进封装,2.0,19.89,165,3,0,0,1,3.19,48.89,鸿仕达,29.99
特色小镇,0.65,9.93,40,2,1,0,2,0.0,47.88,天域生物,10.07
汽车电子,0.63,32.48,381,1,0,0,1,0.0,47.37,光莆股份,20.01
低空经济,0.54,12.33,485,5,0,0,1,13.06,46.949999999999996,创世纪,20.02
MCU芯片,1.66,28.8,93,1,0,0,1,0.0,46.779999999999994,芯原股份,20.0
百度概念,0.26,2.63,231,3,1,0,2,0.0,44.41,众泰汽车,10.04
军工信息化,1.08,22.93,111,2,0,0,1,0.0,44.17,上海瀚讯,13.81
新型工业化,1.09,10.31,286,4,0,0,1,14.100000000000001,41.580000000000005,创世纪,20.02
大飞机,1.22,13.0,152,3,0,0,1,0.0,39.66,航宇科技,13.47
海南自贸区,1.37,3.53,29,1,1,0,2,0.0,38.64,海德股份,10.07
物联网,0.57,11.88,460,3,0,0,1,0.0,36.59,芯原股份,20.0
