板块,Top20天数,总出现天数,平均排名,最佳排名,趋势(向好+),2026-04-22,2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01
芯片概念,8,8,2.4,1,-0.7,1,2,2,6,1,3,2,2
数据中心,6,8,11.5,2,10.0,21,8,9,42,4,2,3,3
新型城镇化,5,6,10.3,3,9.3,25,3,-,-,17,7,5,5
白酒概念,5,5,13.0,6,0.0,-,6,-,-,18,13,14,14
人工智能,5,7,16.4,1,34.7,22,4,-,81,5,1,1,1
长三角一体化,5,8,25.5,1,1.0,27,1,3,115,30,6,11,11
第三代半导体,5,8,31.5,9,11.0,26,10,27,143,16,12,9,9
数字孪生,4,6,13.5,7,12.3,23,9,-,-,27,8,7,7
装配式建筑,4,6,14.8,6,14.3,30,11,-,-,25,11,6,6
PPP概念,4,6,16.0,8,14.7,29,12,-,-,29,10,8,8
光伏建筑一体化,4,7,17.4,7,6.7,28,7,23,-,26,14,12,12
锂电池概念,4,8,20.8,1,-23.3,2,13,1,7,57,42,22,22
智能家居,4,7,22.7,4,15.7,24,5,-,60,28,4,19,19
军工,4,6,23.7,10,22.0,41,-,-,48,15,18,10,10
粤港澳大湾区,4,6,34.7,5,-22.7,-,57,-,5,8,98,20,20
华为概念,3,7,21.3,3,-23.7,3,-,17,3,32,28,33,33
先进封装,3,5,21.6,9,0.0,9,39,-,24,-,-,18,18
商业航天,3,6,22.0,12,-11.3,17,-,-,20,12,29,27,27
储能,3,8,34.1,10,-29.0,32,14,10,38,36,19,62,62
消费电子概念,3,8,35.4,8,-21.3,16,59,12,8,37,81,35,35
2025年报预增,3,6,36.2,5,-29.7,-,17,6,-,41,5,74,74
氢能源,3,6,42.0,1,-58.0,35,-,-,1,3,17,98,98
国产操作系统,2,2,16.0,16,0.0,-,-,-,-,-,-,16,16
数字经济,2,5,27.0,4,0.0,-,-,-,4,6,79,23,23
汽车芯片,2,3,27.0,15,0.0,-,-,-,-,51,-,15,15
统一大市场,2,3,31.3,10,0.0,-,-,-,10,13,71,-,-
OLED,2,3,31.7,11,0.0,11,-,-,18,66,-,-,-
创投,2,8,33.2,7,-5.7,53,19,7,49,42,48,24,24
机器人概念,2,8,34.2,16,11.7,44,56,19,32,39,16,34,34
卫星导航,2,6,41.0,15,20.0,15,-,-,17,121,37,28,28
汽车电子,2,6,44.3,14,-24.0,14,-,-,19,64,39,65,65
无人机,2,6,51.3,7,-47.3,-,-,20,56,7,89,68,68
海峡两岸,2,8,56.8,8,-51.0,45,18,8,65,94,106,59,59
东数西算(算力),2,5,57.0,4,0.0,-,-,-,74,85,118,4,4
智能穿戴,2,6,65.8,16,-71.7,19,55,-,16,69,-,118,118
阿里巴巴概念,2,4,67.2,13,0.0,-,-,-,111,132,-,13,13
食品安全,2,4,74.2,4,0.0,-,20,4,132,-,141,-,-
中国AI 50,2,3,75.0,17,0.0,-,-,-,-,-,191,17,17
燃料电池,2,6,82.3,11,-118.7,46,-,-,12,11,173,126,126
冷链物流,2,6,86.0,11,-118.7,55,-,-,11,14,92,172,172
智能物流,2,6,89.7,10,-128.0,54,-,-,13,10,87,187,187
绿色电力,2,5,103.6,2,0.0,-,-,-,2,2,122,196,196
碳纤维,1,1,9.0,9,0.0,-,-,-,-,9,-,-,-
MicroLED概念,1,2,13.0,5,0.0,5,-,-,21,-,-,-,-
MiniLED,1,2,17.5,8,0.0,8,-,-,27,-,-,-,-
超超临界发电,1,2,27.5,15,0.0,-,-,-,15,40,-,-,-
央企国企改革,1,5,34.0,14,0.0,-,-,-,14,34,62,30,30
新能源汽车,1,7,34.9,20,4.3,42,-,26,37,47,20,36,36
固态电池,1,5,39.4,11,0.0,50,-,11,43,52,41,-,-
新型烟草(电子烟),1,3,40.0,14,0.0,-,-,14,52,54,-,-,-
两轮车,1,3,42.0,16,0.0,-,-,16,55,55,-,-,-
军民融合,1,4,44.2,20,0.0,-,-,-,-,20,63,47,47
液冷服务器,1,7,49.6,5,-16.0,58,21,5,-,131,52,40,40
PET铜箔,1,3,52.0,7,0.0,7,-,-,29,-,120,-,-
钠离子电池,1,6,54.5,13,-27.0,-,-,13,57,53,88,58,58
柔性屏(折叠屏),1,3,56.3,12,0.0,12,-,-,23,-,134,-,-
回购增持再贷款概念,1,7,63.0,9,-6.0,52,40,-,79,81,9,90,90
华为汽车,1,4,65.8,18,0.0,-,-,18,45,45,155,-,-
共封装光学(CPO),1,7,66.4,6,-91.3,6,28,-,25,73,55,139,139
小米概念,1,6,67.2,18,-20.3,18,-,-,26,127,82,75,75
6G概念,1,3,67.3,13,0.0,13,-,-,30,-,159,-,-
共同富裕示范区,1,6,69.2,15,-61.7,-,-,15,44,56,72,114,114
小金属概念,1,4,70.2,15,0.0,-,-,-,138,-,15,64,64
存储芯片,1,5,75.2,4,0.0,4,-,-,22,-,126,112,112
体育产业,1,7,78.7,15,-78.0,31,15,-,82,61,188,87,87
风电,1,5,83.6,9,0.0,-,-,-,9,31,32,173,173
文化传媒概念,1,7,88.7,16,-56.3,62,16,-,106,84,175,89,89
钙钛矿电池,1,4,90.8,20,0.0,20,-,-,31,-,-,156,156
2026一季报预增,1,4,92.8,19,0.0,-,-,-,-,19,26,163,163
光刻机,1,4,99.5,10,0.0,10,-,-,28,-,-,180,180
