板块,Top20天数,总出现天数,平均排名,最佳排名,趋势(向好+),2026-04-23,2026-04-24,2026-04-27,2026-04-28,2026-04-29,2026-04-30,2026-05-01,2026-05-04
芯片概念,8,8,2.5,1,1.3,2,2,6,1,3,2,2,2
数据中心,7,8,9.2,2,16.7,8,9,42,4,2,3,3,3
新型城镇化,6,6,7.0,3,4.0,3,-,-,17,7,5,5,5
白酒概念,6,6,13.2,6,-1.7,6,-,-,18,13,14,14,14
人工智能,6,7,13.4,1,29.0,4,-,81,5,1,1,1,1
长三角一体化,6,8,23.5,1,28.7,1,3,115,30,6,11,11,11
第三代半导体,6,8,29.4,9,51.0,10,27,143,16,12,9,9,9
数字孪生,5,6,10.8,7,7.7,9,-,-,27,8,7,7,7
装配式建筑,5,6,10.8,6,9.7,11,-,-,25,11,6,6,6
PPP概念,5,6,12.5,8,9.0,12,-,-,29,10,8,8,8
光伏建筑一体化,5,7,15.1,7,6.7,7,23,-,26,14,12,12,12
军工,5,6,18.5,10,17.0,-,-,48,15,18,10,10,10
智能家居,5,7,22.0,4,12.0,5,-,60,28,4,19,19,19
粤港澳大湾区,5,7,32.6,5,3.3,57,-,5,8,98,20,20,20
国产操作系统,3,3,16.0,16,0.0,-,-,-,-,-,16,16,16
锂电池概念,3,8,23.2,1,-15.0,13,1,7,57,42,22,22,22
先进封装,3,5,23.4,18,0.0,39,-,24,-,-,18,18,18
汽车芯片,3,4,24.0,15,0.0,-,-,-,51,-,15,15,15
储能,3,8,37.9,10,-41.3,14,10,38,36,19,62,62,62
2025年报预增,3,7,41.6,5,-52.7,17,6,-,41,5,74,74,74
东数西算(算力),3,6,48.2,4,88.3,-,-,74,85,118,4,4,4
氢能源,3,6,52.5,1,-91.0,-,-,1,3,17,98,98,98
阿里巴巴概念,3,5,56.4,13,0.0,-,-,111,132,-,13,13,13
中国AI 50,3,4,60.5,17,0.0,-,-,-,-,191,17,17,17
商业航天,2,6,23.7,12,-6.7,-,-,20,12,29,27,27,27
华为概念,2,7,25.6,3,-15.7,-,17,3,32,28,33,33,33
数字经济,2,6,26.3,4,6.7,-,-,4,6,79,23,23,23
创投,2,8,29.6,7,1.0,19,7,49,42,48,24,24,24
统一大市场,2,3,31.3,10,0.0,-,-,10,13,71,-,-,-
机器人概念,2,8,33.0,16,1.7,56,19,32,39,16,34,34,34
消费电子概念,2,8,37.8,8,-8.7,59,12,8,37,81,35,35,35
无人机,2,7,53.7,7,-40.3,-,20,56,7,89,68,68,68
海峡两岸,2,8,58.5,8,-28.7,18,8,65,94,106,59,59,59
食品安全,2,4,74.2,4,0.0,20,4,132,-,141,-,-,-
燃料电池,2,6,95.7,11,-60.7,-,-,12,11,173,126,126,126
冷链物流,2,6,105.5,11,-133.0,-,-,11,14,92,172,172,172
智能物流,2,6,111.8,10,-150.3,-,-,13,10,87,187,187,187
绿色电力,2,6,119.0,2,-154.0,-,-,2,2,122,196,196,196
碳纤维,1,1,9.0,9,0.0,-,-,-,9,-,-,-,-
超超临界发电,1,2,27.5,15,0.0,-,-,15,40,-,-,-,-
央企国企改革,1,6,33.3,14,6.7,-,-,14,34,62,30,30,30
新能源汽车,1,7,34.0,20,0.7,-,26,37,47,20,36,36,36
固态电池,1,4,36.8,11,0.0,-,11,43,52,41,-,-,-
新型烟草(电子烟),1,3,40.0,14,0.0,-,14,52,54,-,-,-,-
两轮车,1,3,42.0,16,0.0,-,16,55,55,-,-,-,-
OLED,1,2,42.0,18,0.0,-,-,18,66,-,-,-,-
卫星导航,1,6,43.2,17,30.3,-,-,17,121,37,28,28,28
军民融合,1,5,44.8,20,0.0,-,-,-,20,63,47,47,47
液冷服务器,1,7,47.0,5,12.3,21,5,-,131,52,40,40,40
汽车电子,1,6,52.8,19,-24.3,-,-,19,64,39,65,65,65
钠离子电池,1,7,55.0,13,-17.0,-,13,57,53,88,58,58,58
华为汽车,1,4,65.8,18,0.0,-,18,45,45,155,-,-,-
回购增持再贷款概念,1,7,68.4,9,-23.3,40,-,79,81,9,90,90,90
小金属概念,1,5,69.0,15,0.0,-,-,138,-,15,64,64,64
共同富裕示范区,1,7,75.6,15,-75.7,-,15,44,56,72,114,114,114
智能穿戴,1,6,82.3,16,-71.3,55,-,16,69,-,118,118,118
体育产业,1,7,86.7,15,-34.3,15,-,82,61,188,87,87,87
文化传媒概念,1,7,92.6,16,-20.3,16,-,106,84,175,89,89,89
风电,1,6,98.5,9,-149.0,-,-,9,31,32,173,173,173
2026一季报预增,1,5,106.8,19,0.0,-,-,-,19,26,163,163,163
