股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向区间增长值[20260424-20260430],主力资金流向[20260424],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code,主力资金流向[20260427]
688256.SH,寒武纪,1699.96,中国AI 50;先进封装;汽车芯片;芯片概念;同花顺新质50;数据中心;东数西算(算力);国产操作系统;阿里巴巴概念;人工智能;沪股通;融资融券,上证180;上证50;上证AB股;上证A股;上证上市公司;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创50;科创创业50;科创板,20.00028236,2.84656821E10,3019822900.0,1254454600.0,482711110.0,1223951480.0,4274277500.0,12,716847921593.2,1.7884265E7,12657898500.0,8383621000.0,1475,1699.96,1475,1699.96,15.87994,17,688256,
600118.SH,中国卫星,102.8,国产航母;商业航天;卫星导航;军民融合;大飞机;6G概念;军工;中字头股票;无人机;低空经济;高端装备;央企国企改革;水利;芯片概念;人工智能;京津冀一体化;一带一路;国企改革;智能医疗;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),4.97293985,7.32779164E9,1540142140.0,,,183018100.0,974402190.0,21,121559883078.0,7.2492291E7,2071901610.0,1097499420.0,97.01,103.8,97.01,102.8,6.933523,17,600118,78716490.0
300502.SZ,新易盛,525.79,共封装光学(CPO);5G;数据中心;芯片概念;中国AI 50;2025年报预增;人民币贬值受益;深股通;西部大开发;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板50;沪深300;沪深AB股;沪深A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;科创创业50,-2.08752328,1.59971322E10,1510792400.0,,,278227400.0,,10,465529950515.48,3.0209791E7,4860743100.0,5905778900.0,549,549,518,525.79,5.772811,33,300502,
002281.SZ,光迅科技,144.28,F5G概念;共封装光学(CPO);光纤概念;液冷服务器;6G概念;5G;芯片概念;数据中心;东数西算(算力);量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券;股权转让(并购重组),中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,8.58734101,1.132679E10,1439434410.0,,383575050.0,,1166620730.0,20,112466082824.16,8.0211514E7,3336797790.0,2170177060.0,135.52,146.16,135.01,144.28,8.391661,33,002281,501768640.0
002384.SZ,东山精密,186.73,共封装光学(CPO);同花顺果指数;PCB概念;苹果概念;2026一季报预增;5G;MiniLED;消费电子概念;芯片概念;数据中心;智能穿戴;AI手机;小米概念;高压快充;华为概念;新能源汽车;人形机器人;特斯拉概念;机器人概念;人民币贬值受益;深股通;长三角一体化;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,1.34599729,1.53128065E10,1358960600.0,,,640361400.0,208601000.0,23,258867855335.79,8.2041728E7,4301577000.0,4092976000.0,189.78,191.95,181.83,186.73,5.492537,33,002384,
000066.SZ,中国长城,19.82,AI PC;中国AI 50;东数西算(算力);国产操作系统;数据安全;网络安全;信创;华为鲲鹏;数据中心;百度概念;量子科技;区块链;智慧城市;液冷服务器;车联网(车路协同);华为概念;智能电网;5G;DeepSeek概念;人工智能;数字经济;芯片概念;消费电子概念;粤港澳大湾区;商业航天;军工;卫星导航;海工装备;汽车电子;军民融合;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,9.98890122,8.32145742E9,1323707490.0,320366780.0,1532227650.0,421062260.0,1644074270.0,37,63930397789.16,4.31571802E8,3109057410.0,1464983140.0,19,19.82,18.39,19.82,7.935627,33,000066,73113410.0
002202.SZ,金风科技,27.55,商业航天;柔性直流输电;特高压;智能电网;海工装备;储能;风电;东数西算(算力);工业互联网;抽水蓄能;独角兽概念;氢能源;人工智能;碳中和;绿色电力;创投;碳交易;西部大开发;污水处理;PPP概念;新疆振兴;同花顺出海50;煤化工概念;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;含H股的A股;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,7.07345511,9.48916356E9,1291110660.0,,,201076500.0,1156533290.0,25,92664564981.55,3.49362601E8,2392177530.0,1235644240.0,26.51,28.18,26.2,27.55,7.695297,33,002202,488984430.0
600111.SH,北方稀土,53.04,稀土永磁;小金属概念;金属回收;2026一季报预增;回购增持再贷款概念;军工;西部大开发;2025年报预增;国企改革;氢能源;专精特新;同花顺漂亮100;沪股通;融资融券,上证180;上证50;上证AB股;上证A股;上证上市公司;上证主板A股;中证800;中证A50;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),4.10206084,1.43019537E10,1279685390.0,,,2205539880.0,1127344600.0,14,191743092259.68,2.71321021E8,3955732600.0,2828388000.0,51.88,53.35,51.36,53.04,3.905789,17,600111,
300136.SZ,信维通信,91.3,卫星导航;6G概念;商业航天;同花顺果指数;WiFi 6;毫米波雷达;无人机;低空经济;芯片概念;柔性屏(折叠屏);5G;富士康概念;智能音箱;AI眼镜;智能穿戴;车联网(车路协同);无线充电;华为概念;虚拟现实;消费电子概念;汽车电子;苹果概念;物联网;无线耳机;机器人概念;特斯拉概念;海峡两岸;粤港澳大湾区;人民币贬值受益;一带一路;回购增持再贷款概念;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板50;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,6.77113788,1.08319452E10,1238333540.0,144039130.0,,,1382372670.0,33,75340781729.4,1.22837778E8,3788179860.0,2405807190.0,84.9,91.98,83.03,91.3,10.466612,33,300136,1826411870.0
603986.SH,兆易创新,312.99,存储芯片;汽车芯片;MCU芯片;芯片概念;汽车电子;无线耳机;传感器;小米概念;人形机器人;物联网;人民币贬值受益;锂电池概念;光伏概念;回购增持再贷款概念;融资融券;沪股通,上证180;上证AB股;上证A股;上证上市公司;上证主板A股;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;含H股的A股;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),1.32733335,1.85168479E10,1086072750.0,,406362260.0,89733700.0,652304400.0,16,209028739570.14,5.8796514E7,5906365700.0,5254061300.0,320,321,306.48,312.99,4.700702,17,603986,393261970.0
