股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code
600638.SH,新黄浦,6.25,租售同权;信托概念;物业管理;互联网金融;期货概念;国企改革,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.95758564,8.1814603E7,9647846.299999999,-3.5493827160493887,6,4208729912.5,1.3162367E7,14048488.7,4400642.4,6.1,6.28,6.1,6.25,2.936378,17,600638
600605.SH,汇通能源,31.6,租售同权;芯片概念;物业管理;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-1.77183712,1.39865909E8,2974143.0,5.650284185891011,4,6518524756.4,4413615,16918470.0,13944327.0,32.86,32.86,31.21,31.6,5.129002,17,600605
000560.SZ,我爱我家,2.97,租售同权;物业管理;西部大开发;京津冀一体化;数字经济;深股通;鸿蒙概念;AIGC概念;数据要素;人工智能;ChatGPT概念;华为概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.02040816,2.63379234E8,24511291.0,2.413793103448286,13,6945155496.18,8.8994986E7,87708177.0,63196886.0,2.94,2.98,2.92,2.97,2.040816,33,000560
002285.SZ,世联行,3.12,租售同权;物业管理;特色小镇;养老概念;化债概念(AMC概念);新型城镇化;横琴新区;互联网金融;国企改革;粤港澳大湾区;华为概念;云计算;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,3.65448505,1.83105975E8,19085759.0,5.050505050505047,14,6162743967.12,5.924656E7,58216026.0,39130267.0,3.03,3.13,3.01,3.12,3.98671,33,002285
000090.SZ,天健集团,3.52,租售同权;物业管理;深圳国企改革;国企改革;新型城镇化;粤港澳大湾区;人工智能;数字孪生;机器人概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.57142857,8.17531993E7,3126237.5,-1.9498607242339787,11,6576878647.68,2.3231601E7,16446880.3,13320642.8,3.54,3.55,3.49,3.52,1.714285,33,000090
000863.SZ,三湘印象,4.85,租售同权;文化传媒概念;Web3.0;人工智能;数字经济;元宇宙;旅游概念;物业管理;IP经济(谷子经济);虚拟现实;创投;智能家居;一带一路;光伏建筑一体化;长三角一体化;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,6.35964912,1.89969445E8,15683916.0,9.234234234234217,17,5641596474.8,4.0559736E7,41908735.0,26224819.0,4.6,4.9,4.52,4.85,8.333333,33,000863
002244.SZ,滨江集团,9.55,租售同权;特色小镇;物业管理;证金持股;乡村振兴;养老概念;深股通;融资融券;海峡两岸;固态电池;共同富裕示范区,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.59574468,4.17913976E8,25000899.0,-6.647116324535676,11,26334596197.0,4.3676804E7,84273258.0,59272359.0,9.42,9.77,9.18,9.55,6.276595,33,002244
001979.SZ,招商蛇口,8.7,租售同权;免税店;物业管理;国企改革;养老概念;深股通;融资融券;央企国企改革;回购增持再贷款概念;粤港澳大湾区;低空经济,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,-1.47225368,4.96318684E8,1421677.0,0.928074245939676,11,73198176745.8,5.669356E7,91553037.0,90131360.0,8.87,8.92,8.58,8.7,3.850509,33,001979
002563.SZ,森马服饰,6.06,足球概念;网红经济;三胎概念;体育产业;高股息精选;跨境电商;IP经济(谷子经济);共同富裕示范区;数字经济;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0,2.99498112E8,805219.0,13.271028037383179,11,13374982307.4,4.9349892E7,25004590.0,24199371.0,6.08,6.13,6,6.06,2.145214,33,002563
002887.SZ,绿茵生态,13.3,足球概念;土壤修复;污水处理;新型城镇化;PPP概念;体育产业;露营经济;碳中和;冰雪产业;碳交易;乡村振兴;水利;雄安新区;旅游概念;京津冀一体化;IP经济(谷子经济),全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,1.06382979,1.39132904E8,3262598.5999999996,4.972375690607741,16,2889174175.3,1.0361786E7,13361527.6,10098929.0,13.3,13.73,12.93,13.3,6.079027,33,002887
