股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],成交量[20260430],market_code,code
300295.SZ,*ST三六五,12.62,租售同权;养老概念;文化传媒概念;人工智能;数据要素;AI应用;互联网金融;AI智能体;DeepSeek概念;ST板块,*ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司;风险警示板,1.20288693,18.27553889409559,10,2114535720.32,12.66,12.78,12.22,12.62,4.490777,1.0074447E7,33,300295
600638.SH,新黄浦,6.25,租售同权;信托概念;物业管理;互联网金融;期货概念;国企改革,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.95758564,-3.5493827160493887,6,4208729912.5,6.1,6.28,6.1,6.25,2.936378,1.3162367E7,17,600638
600605.SH,汇通能源,31.6,租售同权;芯片概念;物业管理;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-1.77183712,5.650284185891011,4,6518524756.4,32.86,32.86,31.21,31.6,5.129002,4413615,17,600605
000002.SZ,万科A,3.91,租售同权;物业管理;养老概念;超级品牌;冰雪产业;体育产业;同花顺漂亮100;装配式建筑;证金持股;冷链物流;空间计算;智能物流;粤港澳大湾区;机器人概念;深股通;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;含H股的A股;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,1.03359173,2.624671916010501,16,37993219232.15,3.87,3.95,3.83,3.91,3.100775,1.65954127E8,33,000002
000560.SZ,我爱我家,2.97,租售同权;物业管理;西部大开发;京津冀一体化;数字经济;深股通;鸿蒙概念;AIGC概念;数据要素;人工智能;ChatGPT概念;华为概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.02040816,2.413793103448286,13,6945155496.18,2.94,2.98,2.92,2.97,2.040816,8.8994986E7,33,000560
603682.SH,锦和商管,8.65,租售同权;物业管理;新型城镇化;IP经济(谷子经济);小红书概念;高股息精选,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,2.12514758,21.488764044943824,6,4087125000.0,8.59,8.82,8.47,8.65,4.132231,1.8938949E7,17,603682
600048.SH,保利发展,6.14,租售同权;物业管理;同花顺漂亮100;证金持股;国企改革;央企国企改革;沪股通;融资融券;智能家居,上证180;上证AB股;上证A股;上证上市公司;上证主板A股;中证800;中证A50;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0,4.599659284497437,9,73498522586.52,6.11,6.2,6.04,6.14,2.605863,1.17567446E8,17,600048
002285.SZ,世联行,3.12,租售同权;物业管理;特色小镇;养老概念;化债概念(AMC概念);新型城镇化;横琴新区;互联网金融;国企改革;粤港澳大湾区;华为概念;云计算;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,3.65448505,5.050505050505047,14,6162743967.12,3.03,3.13,3.01,3.12,3.98671,5.924656E7,33,002285
000056.SZ,*ST皇庭,1.74,租售同权;物业管理;ST板块;智能物流;物联网;芯片概念;固态电池,*ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股;风险警示板,-4.91803279,-9.844559585492226,7,1572495781.92,1.81,1.84,1.74,1.74,5.46448,1.06272212E8,33,000056
002305.SZ,*ST南置,2.23,租售同权;物业管理;ST板块;特色小镇;雄安新区;PPP概念;国企改革;央企国企改革,*ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股;风险警示板,-0.44642857,0.0,8,3867050305.48,2.24,2.24,2.21,2.23,1.339285,1.96978E7,33,002305
000090.SZ,天健集团,3.52,租售同权;物业管理;深圳国企改革;国企改革;新型城镇化;粤港澳大湾区;人工智能;数字孪生;机器人概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.57142857,-1.9498607242339787,11,6576878647.68,3.54,3.55,3.49,3.52,1.714285,2.3231601E7,33,000090
300947.SZ,德必集团,17.52,租售同权;物业管理;IP经济(谷子经济);旅游概念;AI应用;ChatGPT概念;元宇宙;新型城镇化;建筑节能;人工智能;DeepSeek概念;空间计算;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.97982709,1.0380622837370226,13,2646881847.12,17.31,17.82,17.21,17.52,3.51585,4179494,33,300947
600325.SH,华发股份,3.46,租售同权;物业管理;广东自贸区;冰雪产业;旅游概念;证金持股;国企改革;回购增持再贷款概念;横琴新区;数字经济;沪股通;融资融券;粤港澳大湾区;华为概念,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-3.35195531,-1.7045454545454561,14,9522446321.36,3.52,3.52,3.37,3.46,4.189944,7.8538204E7,17,600325
600649.SH,城投控股,4.27,租售同权;物业管理;参股券商;上海国企改革;参股银行;新型城镇化;国企改革;沪股通;融资融券;宁德时代概念,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),0,0.7075471698113057,10,10694218279.36,4.24,4.31,4.19,4.27,2.810304,2.98544E7,17,600649
000863.SZ,三湘印象,4.85,租售同权;文化传媒概念;Web3.0;人工智能;数字经济;元宇宙;旅游概念;物业管理;IP经济(谷子经济);虚拟现实;创投;智能家居;一带一路;光伏建筑一体化;长三角一体化;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,6.35964912,9.234234234234217,17,5641596474.8,4.6,4.9,4.52,4.85,8.333333,4.0559736E7,33,000863
002244.SZ,滨江集团,9.55,租售同权;特色小镇;物业管理;证金持股;乡村振兴;养老概念;深股通;融资融券;海峡两岸;固态电池;共同富裕示范区,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.59574468,-6.647116324535676,11,26334596197.0,9.42,9.77,9.18,9.55,6.276595,4.3676804E7,33,002244
001979.SZ,招商蛇口,8.7,租售同权;免税店;物业管理;国企改革;养老概念;深股通;融资融券;央企国企改革;回购增持再贷款概念;粤港澳大湾区;低空经济,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,-1.47225368,0.928074245939676,11,73198176745.8,8.87,8.92,8.58,8.7,3.850509,5.669356E7,33,001979
600604.SH,市北高新,4.83,租售同权;蚂蚁集团概念;创投;数字经济;DeepSeek概念;国企改革;融资融券;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-0.41237113,-4.921259842519684,8,6798006703.32,4.84,4.86,4.79,4.83,1.443298,8372200,17,600604
