股票代码,股票简称,最新价,最新涨跌幅,涨停[20260423],首次涨停时间[20260423],最终涨停时间[20260423],涨停明细数据[20260423],连续涨停天数[20260423],涨停原因类别[20260423],涨停封单量[20260423],涨停封单额[20260423],涨停封单量占成交量比[20260423],涨停封单量占流通a股比[20260423],涨停开板次数[20260423],a股市值(不含限售股)[20260423],几天几板[20260423],涨停类型[20260423],market_code,code,所属概念,区间主力资金流向区间增长值[20260424-20260430],区间主力资金流向[20260424-20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],区间主力买入金额[20260424-20260430],区间主力卖出金额[20260424-20260430],换手率[20260430],振幅[20260430],lbc,main,chg5,amt,volr,concepts
000488.SZ,ST晨鸣,2.57,-1.9083969465648956,涨停, 13:42:27, 13:46:02,"[{""code"":""000488.SZ"",""time"":1776922947113,""openTime"":1776923025692,""duration"":78579,""updatedTime"":1776923025692,""firstVol"":2713550.0,""highestVol"":3435450.0,""firstVolDivLTGB"":0.0016016517337848293,""firstVolDivVol"":0.10763047321710541,""highestVolDivLTGB"":0.0020277475811505564,""highestVolDivVol"":0.13165076947555365},{""code"":""000488.SZ"",""time"":1776923162397,""openTime"":null,""duration"":4437603,""updatedTime"":1776927600000,""firstVol"":2446000.0,""highestVol"":3681450.0,""firstVolDivLTGB"":0.0014437324319941378,""firstVolDivVol"":0.08445964610648628,""highestVolDivLTGB"":0.002172947163436148,""highestVolDivVol"":0.12013244868008492}]",1,浆纸一体化+山东国资+摘帽预期,3195350,8563538.0,10.236871601018077,0.18860304278710008,1,4540508930.0,首板涨停,放量涨停,33,000488,,,,,,,,,,,1,0.0,0,0,10.236871601018077,
000537.SZ,绿发电力,9.89,-3.5121951219512137,涨停, 09:37:09, 13:42:12,"[{""code"":""000537.SZ"",""time"":1776908229970,""openTime"":1776908508357,""duration"":278387,""updatedTime"":1776908508357,""firstVol"":7.27043E7,""highestVol"":7.53817E7,""firstVolDivLTGB"":0.03536686625891951,""firstVolDivVol"":1.8753134741558009,""highestVolDivLTGB"":0.03666928231576389,""highestVolDivVol"":1.7633416371642654},{""code"":""000537.SZ"",""time"":1776922932113,""openTime"":null,""duration"":4667887,""updatedTime"":1776927600000,""firstVol"":4.6921826E7,""highestVol"":4.6921826E7,""firstVolDivLTGB"":0.022825031597392343,""firstVolDivVol"":0.3512394846624993,""highestVolDivLTGB"":0.022825031597392343,""highestVolDivVol"":0.3512394846624993}]",1,绿电交易+储能+央企,8408785,97962345.25,5.93926272293023,0.4090437216162022,1,23949113523.35,首板涨停,放量涨停,33,000537,,,,,,,,,,,1,0.0,0,0,5.93926272293023,
000593.SZ,德龙汇能,25.3,-5.278921752152751,涨停, 10:04:37, 10:12:26,"[{""code"":""000593.SZ"",""time"":1776909877184,""openTime"":1776909892185,""duration"":15001,""updatedTime"":1776909892185,""firstVol"":264300.0,""highestVol"":264300.0,""firstVolDivLTGB"":7.37273107513731E-4,""firstVolDivVol"":0.012876813039929082,""highestVolDivLTGB"":7.37273107513731E-4,""highestVolDivVol"":0.012876813039929082},{""code"":""000593.SZ"",""time"":1776910346383,""openTime"":null,""duration"":11818611,""updatedTime"":1776927600000,""firstVol"":1.24522E7,""highestVol"":1.27511E7,""firstVolDivLTGB"":0.03473580094355839,""firstVolDivVol"":0.45227662889340925,""highestVolDivLTGB"":0.03556959183207845,""highestVolDivVol"":0.46020781914057557}]",1,燃气+氢能中心+控制权变更完成,3317236,65150515.04,10.573527981630336,0.9253533462264165,1,7040609439.16,首板涨停,放量涨停,33,000593,,,,,,,,,,,1,0.0,0,0,10.573527981630336,
000609.SZ,*ST中迪,14.42,5.0254916241806225,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1776907800000,""openTime"":null,""duration"":14364994,""updatedTime"":1776927600000,""firstVol"":4.4361716E7,""highestVol"":4.4361716E7,""firstVolDivLTGB"":0.15241523869144663,""firstVolDivVol"":130.9439524889015,""highestVolDivLTGB"":0.15241523869144663,""highestVolDivVol"":130.9439524889015}]",3,半导体资产注入+房地产+ST博弈,12369511,139775474.3,1218.0841939203674,4.249840045776126,0,3288958473.6,6天4板,一字涨停||缩量涨停,33,000609,,,,,,,,,,,4,0.0,0,0,1218.0841939203674,
000715.SZ,中兴商业,5.99,-4.006410256410256,涨停, 09:59:08, 09:59:59,"[{""code"":""000715.SZ"",""time"":1776909548119,""openTime"":1776909563119,""duration"":15000,""updatedTime"":1776909563119,""firstVol"":618950.0,""highestVol"":618950.0,""firstVolDivLTGB"":0.0012726354912676273,""firstVolDivVol"":0.029690771300472093,""highestVolDivLTGB"":0.0012726354912676273,""highestVolDivVol"":0.029690771300472093},{""code"":""000715.SZ"",""time"":1776909599429,""openTime"":null,""duration"":12565565,""updatedTime"":1776927600000,""firstVol"":2.03487E7,""highestVol"":3.804796E7,""firstVolDivLTGB"":0.0418393696116933,""firstVolDivVol"":0.7517651446483001,""highestVolDivLTGB"":0.07823117257667184,""highestVolDivVol"":1.046704707504901}]",1,百货零售+首店经济+恐龙IP,3615800,23900438.0,5.830624251710619,0.7434518796874525,1,3214792867.3,3天2板,放量涨停,33,000715,,,,,,,,,,,2,0.0,0,0,5.830624251710619,
000890.SZ,法尔胜,15.66,-8.953488372093018,涨停, 09:37:24, 14:51:17,"[{""code"":""000890.SZ"",""time"":1776908244970,""openTime"":1776908274970,""duration"":30000,""updatedTime"":1776908274970,""firstVol"":7437100.0,""highestVol"":7437100.0,""firstVolDivLTGB"":0.017728864706208772,""firstVolDivVol"":0.15935357101472727,""highestVolDivLTGB"":0.017728864706208772,""highestVolDivVol"":0.15935357101472727},{""code"":""000890.SZ"",""time"":1776908289971,""openTime"":1776908335609,""duration"":45638,""updatedTime"":1776908335609,""firstVol"":202400.0,""highestVol"":371300.0,""firstVolDivLTGB"":4.8248944031096196E-4,""firstVolDivVol"":0.003862105875816275,""highestVolDivLTGB"":8.851202034953566E-4,""highestVolDivVol"":0.006905023952603826},{""code"":""000890.SZ"",""time"":1776908429604,""openTime"":1776908793946,""duration"":364342,""updatedTime"":1776908793946,""firstVol"":69300.0,""highestVol"":1.17136E7,""firstVolDivLTGB"":1.6520018880212284E-4,""firstVolDivVol"":0.0011999554925599123,""highestVolDivLTGB"":0.027923361205664448,""highestVolDivVol"":0.20032650538777672},{""code"":""000890.SZ"",""time"":1776926151212,""openTime"":1776926549454,""duration"":398242,""updatedTime"":1776926549454,""firstVol"":2865000.0,""highestVol"":4408500.0,""firstVolDivLTGB"":0.006829704775152698,""firstVolDivVol"":0.02619207659971079,""highestVolDivLTGB"":0.010509163525745433,""highestVolDivVol"":0.04024130176069958},{""code"":""000890.SZ"",""time"":1776926616843,""openTime"":1776926656951,""duration"":40108,""updatedTime"":1776926656951,""firstVol"":8800.0,""highestVol"":8800.0,""firstVolDivLTGB"":2.097780175265052E-5,""firstVolDivVol"":7.836209612587503E-5,""highestVolDivLTGB"":2.097780175265052E-5,""highestVolDivVol"":7.836209612587503E-5},{""code"":""000890.SZ"",""time"":1776926881049,""openTime"":1776927038498,""duration"":157449,""updatedTime"":1776927038498,""firstVol"":18700.0,""highestVol"":282200.0,""firstVolDivLTGB"":4.4577828724382355E-5,""firstVolDivVol"":1.6434866063883238E-4,""highestVolDivLTGB"":6.727199607497701E-4,""highestVolDivVol"":0.0024781713020720366},{""code"":""000890.SZ"",""time"":1776927077062,""openTime"":null,""duration"":522938,""updatedTime"":1776927600000,""firstVol"":31900.0,""highestVol"":1254600.0,""firstVolDivLTGB"":7.604453135335814E-5,""firstVolDivVol"":2.781479659810912E-4,""highestVolDivLTGB"":0.0029907670544176528,""highestVolDivVol"":0.010801014179589665}]",1,光纤业务澄清+重大资产出售完成+环保技术突破+金属制品,1254600,21027096.000000004,1.0801014179589665,0.2990767054417653,6,7030669930.96,首板涨停,放量涨停,33,000890,,,,,,,,,,,1,0.0,0,0,1.0801014179589665,
000925.SZ,众合科技,9.19,-5.840163934426233,涨停, 10:11:56, 11:13:55,"[{""code"":""000925.SZ"",""time"":1776910316383,""openTime"":1776910391384,""duration"":75001,""updatedTime"":1776910391384,""firstVol"":5.53739E7,""highestVol"":5.53739E7,""firstVolDivLTGB"":0.08224934001224411,""firstVolDivVol"":1.4951143956010606,""highestVolDivLTGB"":0.08224934001224411,""highestVolDivVol"":1.4951143956010606},{""code"":""000925.SZ"",""time"":1776911225787,""openTime"":1776911264608,""duration"":38821,""updatedTime"":1776911264608,""firstVol"":1.538724E7,""highestVol"":1.698534E7,""firstVolDivLTGB"":0.02285535847411873,""firstVolDivVol"":0.26615829098426075,""highestVolDivLTGB"":0.02522908816037105,""highestVolDivVol"":0.28990384704006333},{""code"":""000925.SZ"",""time"":1776911281063,""openTime"":1776911296063,""duration"":15000,""updatedTime"":1776911296063,""firstVol"":398700.0,""highestVol"":398700.0,""firstVolDivLTGB"":5.922070120197734E-4,""firstVolDivVol"":0.006413943562605406,""highestVolDivLTGB"":5.922070120197734E-4,""highestVolDivVol"":0.006413943562605406},{""code"":""000925.SZ"",""time"":1776911833679,""openTime"":1776911863850,""duration"":30171,""updatedTime"":1776911863850,""firstVol"":1.782864E7,""highestVol"":1.782864E7,""firstVolDivLTGB"":0.026481679515365467,""firstVolDivVol"":0.24674671881063825,""highestVolDivLTGB"":0.026481679515365467,""highestVolDivVol"":0.24674671881063825},{""code"":""000925.SZ"",""time"":1776911878850,""openTime"":1776913906434,""duration"":2027584,""updatedTime"":1776913906434,""firstVol"":1.71946E7,""highestVol"":4.708E7,""firstVolDivLTGB"":0.025539911434349624,""firstVolDivVol"":0.2329417477236781,""highestVolDivLTGB"":0.06993003793802591,""highestVolDivVol"":0.580988142856346},{""code"":""000925.SZ"",""time"":1776914035951,""openTime"":null,""duration"":8129043,""updatedTime"":1776927600000,""firstVol"":2.020463E7,""highestVol"":2.024463E7,""firstVolDivLTGB"":0.03001084414663926,""firstVolDivVol"":0.23095010785070316,""highestVolDivLTGB"":0.030070257942678365,""highestVolDivVol"":0.23121862287668726}]",1,算力租赁+商业航天+智慧交通,4603200,38482752.0,4.662844967920959,0.6837339648180137,5,5628322414.88,首板涨停,放量涨停,33,000925,,,,,,,,,,,1,0.0,0,0,4.662844967920959,
001215.SZ,千味央厨,46.86,9.999999999999995,涨停, 13:47:41, 13:47:41,"[{""code"":""001215.SZ"",""time"":1776923261321,""openTime"":null,""duration"":4338679,""updatedTime"":1776927600000,""firstVol"":7512300.0,""highestVol"":7512300.0,""firstVolDivLTGB"":0.07762010635079769,""firstVolDivVol"":0.981387178228706,""highestVolDivLTGB"":0.07762010635079769,""highestVolDivVol"":0.981387178228706}]",1,预制菜+三胎概念+回购,1552900,67395860.0,18.848671350128786,1.6025528236146915,0,4205531262.8,首板涨停,放量涨停,33,001215,预制菜;三胎概念;海峡两岸;回购增持再贷款概念,3042483.0,110269834.0,1.020484,4.0,4540810944.12,403468435.0,293198601.0,10.098331,11.877934,1,3042483.0,0,0,18.848671350128786,预制菜;三胎概念;海峡两岸;回购增持再贷款概念
001234.SZ,泰慕士,31.2,3.4825870646766193,涨停, 09:40:29, 09:40:29,"[{""code"":""001234.SZ"",""time"":1776908429604,""openTime"":null,""duration"":13735390,""updatedTime"":1776927600000,""firstVol"":5844200.0,""highestVol"":7643700.0,""firstVolDivLTGB"":0.06388116149553755,""firstVolDivVol"":0.7661409787496231,""highestVolDivLTGB"":0.08355094523175804,""highestVolDivVol"":0.9740175340231408}]",2,服装贴牌+回购注销+广州国资入主,6086700,197939484.00000003,61.34302184955253,6.653185477480037,0,2975108460.0,2天2板,放量涨停,33,001234,,,,,,,,,,,2,0.0,0,0,61.34302184955253,
001267.SZ,汇绿生态,53.96,0.07418397626112601,涨停, 13:20:22, 13:20:22,"[{""code"":""001267.SZ"",""time"":1776921622299,""openTime"":null,""duration"":5977701,""updatedTime"":1776927600000,""firstVol"":2.1903322E7,""highestVol"":2.2759422E7,""firstVolDivLTGB"":0.036165427463239794,""firstVolDivVol"":0.30236976107190194,""highestVolDivLTGB"":0.03757896749389266,""highestVolDivVol"":0.3125145310589387}]",1,硅光模块+硅光芯片+鄂州扩产+园林工程,4023009,204851618.28,5.165261219309375,0.6642546741241391,0,30839319053.36,首板涨停,放量涨停,33,001267,共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组),23176390.0,171716860.0,0.633441,8.0,32680472429.68,4262086770.0,4090369910.0,8.202986,5.78635,1,23176390.0,0,0,5.165261219309375,共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组)
