股票代码,股票简称,最新价,最新涨跌幅,涨停[20260428],首次涨停时间[20260428],最终涨停时间[20260428],涨停明细数据[20260428],连续涨停天数[20260428],涨停原因类别[20260428],涨停封单量[20260428],涨停封单额[20260428],涨停封单量占成交量比[20260428],涨停封单量占流通a股比[20260428],涨停开板次数[20260428],a股市值(不含限售股)[20260428],几天几板[20260428],涨停类型[20260428],market_code,code,所属概念,主力资金流向区间增长值[20260424-20260430],主力资金流向[20260424],主力资金流向[20260428],主力资金流向[20260429],主力资金流向[20260430],量比[20260430],所属概念数量,a股市值(不含限售股)[20260430],换手率[20260430],振幅[20260430],主力资金流向[20260427],lbc,main,chg5,amt,volr,concepts
000593.SZ,德龙汇能,25.3,-5.278921752152751,涨停, 11:21:07, 11:21:07,"[{""code"":""000593.SZ"",""time"":1777346467840,""openTime"":null,""duration"":7689874,""updatedTime"":1777359600000,""firstVol"":8859800.0,""highestVol"":8942900.0,""firstVolDivLTGB"":0.024714688906356995,""firstVolDivVol"":0.17382160807529856,""highestVolDivLTGB"":0.024946498952646785,""highestVolDivVol"":0.17522575238778373}]",2,实控人变更+燃气+氢能+网红游资持仓,3317489,84396920.16000001,6.2148819368030495,0.9254239213668634,0,9119811819.36,4天3板,放量涨停,33,000593,,,,,,,,,,,,,3,0.0,0,0,6.2148819368030495,
000609.SZ,*ST中迪,14.42,5.0254916241806225,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1777339800000,""openTime"":null,""duration"":14357714,""updatedTime"":1777359600000,""firstVol"":2.60209E7,""highestVol"":2.60209E7,""firstVolDivLTGB"":0.0894009980242032,""firstVolDivVol"":400.93836671802774,""highestVolDivLTGB"":0.0894009980242032,""highestVolDivVol"":400.93836671802774}]",6,半导体资产注入+ST博弈+房地产,9164199,119867722.92,1152.438062829398,3.1485787835640004,0,3807042197.76,9天7板,一字涨停||缩量涨停,33,000609,,,,,,,,,,,,,7,0.0,0,0,1152.438062829398,
000711.SZ,ST京蓝,4.92,2.9288702928870225,涨停, 13:36:45, 13:36:45,"[{""code"":""000711.SZ"",""time"":1777354605577,""openTime"":null,""duration"":4994423,""updatedTime"":1777359600000,""firstVol"":756809.0,""highestVol"":8747100.0,""firstVolDivLTGB"":3.178150495340129E-4,""firstVolDivVol"":0.006714069789601138,""highestVolDivLTGB"":0.0036732650110912583,""highestVolDivVol"":0.0759822161430195}]",1,铟靶材+固危废资源化+扭亏为盈,5466100,25089399.0,4.609010328926975,0.22954389314316662,0,10930109556.15,首板涨停,缩量涨停,33,000711,,,,,,,,,,,,,1,0.0,0,0,4.609010328926975,
000752.SZ,*ST西发,10.0,-1.1857707509881346,涨停, 09:30:00, 09:31:21,"[{""code"":""000752.SZ"",""time"":1777339800000,""openTime"":1777339814662,""duration"":14662,""updatedTime"":1777339814662,""firstVol"":388900.0,""highestVol"":388900.0,""firstVolDivLTGB"":0.001474454902003515,""firstVolDivVol"":0.22649970879440887,""highestVolDivLTGB"":0.001474454902003515,""highestVolDivVol"":0.22649970879440887},{""code"":""000752.SZ"",""time"":1777339881266,""openTime"":null,""duration"":14276448,""updatedTime"":1777359600000,""firstVol"":361598.0,""highestVol"":2860300.0,""firstVolDivLTGB"":0.0013709435424393598,""firstVolDivVol"":0.11022978281320399,""highestVolDivLTGB"":0.010844390219081136,""highestVolDivVol"":0.7636218791564305}]",1,ST重整+啤酒+业绩预增,2439800,25983870.0,54.9145580973877,0.9250128747513952,1,2809027929.15,首板涨停,T字涨停||缩量涨停,33,000752,,,,,,,,,,,,,1,0.0,0,0,54.9145580973877,
000838.SZ,*ST发展,1.95,4.838709677419347,涨停, 09:30:00, 09:30:42,"[{""code"":""000838.SZ"",""time"":1777339800000,""openTime"":1777339814662,""duration"":14662,""updatedTime"":1777339814662,""firstVol"":4266029.0,""highestVol"":4266029.0,""firstVolDivLTGB"":0.004048365184502965,""firstVolDivVol"":0.2217723671325605,""highestVolDivLTGB"":0.004048365184502965,""highestVolDivVol"":0.2217723671325605},{""code"":""000838.SZ"",""time"":1777339842733,""openTime"":null,""duration"":14314981,""updatedTime"":1777359600000,""firstVol"":2.32747E7,""highestVol"":2.37031E7,""firstVolDivLTGB"":0.02208716470510425,""firstVolDivVol"":0.618330446425725,""highestVolDivLTGB"":0.022493706630872,""highestVolDivVol"":0.6284910498139963}]",2,江西中久拟入主+固废处理+ST摘帽博弈,8257658,15606973.62,14.200622731179005,0.7836330965572992,1,1991617465.95,2天2板,T字涨停||放量涨停,33,000838,,,,,,,,,,,,,2,0.0,0,0,14.200622731179005,
000889.SZ,中嘉博创,4.42,-8.108108108108103,涨停, 09:31:52, 14:24:46,"[{""code"":""000889.SZ"",""time"":1777339912086,""openTime"":1777339933015,""duration"":20929,""updatedTime"":1777339933015,""firstVol"":2.8702599E7,""highestVol"":2.8702599E7,""firstVolDivLTGB"":0.032997366407100694,""firstVolDivVol"":0.7375298907030853,""highestVolDivLTGB"":0.032997366407100694,""highestVolDivVol"":0.7375298907030853},{""code"":""000889.SZ"",""time"":1777357486735,""openTime"":null,""duration"":2113265,""updatedTime"":1777359600000,""firstVol"":3.0717666E7,""highestVol"":3.4434266E7,""firstVolDivLTGB"":0.035313947708113094,""firstVolDivVol"":0.13247195010292584,""highestVolDivLTGB"":0.039586662244822136,""highestVolDivVol"":0.1476714353527763}]",1,算力+5G消息+通信运维,9654560,47403889.6,3.8878184204976582,1.109917097818696,1,4270939666.86,3天2板,放量涨停,33,000889,,,,,,,,,,,,,2,0.0,0,0,3.8878184204976582,
000908.SZ,ST景峰,7.12,-3.3921302578018997,涨停, 09:40:44, 09:44:44,"[{""code"":""000908.SZ"",""time"":1777340444894,""openTime"":1777340459894,""duration"":15000,""updatedTime"":1777340459894,""firstVol"":471520.0,""highestVol"":471520.0,""firstVolDivLTGB"":5.35955611190579E-4,""firstVolDivVol"":0.045336325500048555,""highestVolDivLTGB"":5.35955611190579E-4,""highestVolDivVol"":0.045336325500048555},{""code"":""000908.SZ"",""time"":1777340654945,""openTime"":1777340669945,""duration"":15000,""updatedTime"":1777340669945,""firstVol"":33510.0,""highestVol"":33510.0,""firstVolDivLTGB"":3.808931229003288E-5,""firstVolDivVol"":0.0025371986177529704,""highestVolDivLTGB"":3.808931229003288E-5,""highestVolDivVol"":0.0025371986177529704},{""code"":""000908.SZ"",""time"":1777340684945,""openTime"":null,""duration"":13472769,""updatedTime"":1777359600000,""firstVol"":666500.0,""highestVol"":2831404.0,""firstVolDivLTGB"":7.5758062194291E-4,""firstVolDivVol"":0.04993115269418461,""highestVolDivLTGB"":0.0032183297873843108,""highestVolDivVol"":0.18108149384794497}]",1,石药入主+创新药+摘星,2434150,18158759.0,14.874457900973011,0.276678963258151,2,6563115166.46,首板涨停,缩量涨停,33,000908,,,,,,,,,,,,,1,0.0,0,0,14.874457900973011,
000967.SZ,盈峰环境,13.57,-3.8270729978738425,涨停, 10:37:59, 10:37:59,"[{""code"":""000967.SZ"",""time"":1777343879737,""openTime"":null,""duration"":10277977,""updatedTime"":1777359600000,""firstVol"":9.0575126E7,""highestVol"":9.0575126E7,""firstVolDivLTGB"":0.028133349866453574,""firstVolDivVol"":0.49909439083706403,""highestVolDivLTGB"":0.028133349866453574,""highestVolDivVol"":0.49909439083706403}]",1,算力租赁+智慧环卫+机器人+业绩预增,12962097,183802535.46,6.55137495510684,0.4026129755578902,0,45652412271.44,首板涨停,放量涨停,33,000967,,,,,,,,,,,,,1,0.0,0,0,6.55137495510684,
001266.SZ,宏英智能,40.59,2.7074898785425106,涨停, 09:30:00, 09:30:00,"[{""code"":""001266.SZ"",""time"":1777339800000,""openTime"":null,""duration"":14357714,""updatedTime"":1777359600000,""firstVol"":1.331958E7,""highestVol"":1.331958E7,""firstVolDivLTGB"":0.22910084611399173,""firstVolDivVol"":101.12040692377771,""highestVolDivLTGB"":0.22910084611399173,""highestVolDivVol"":101.12040692377771}]",1,一季报大增+液冷储能+商业航天,7575560,272189870.8,958.519118354126,13.030194689226771,0,2088916376.86,首板涨停,一字涨停||缩量涨停,33,001266,PCB概念;换电概念;新型工业化;数据中心;充电桩;物联网;工业互联网;传感器;储能;专精特新;人工智能;农机;汽车电子;机器人概念;新能源汽车;AI智能体;车联网(车路协同);风电;商业航天;智能座舱;卫星导航;无人驾驶;回购增持再贷款概念,12707492.0,,,,12506209.0,9.574542,23.0,2359841796.18,28.908486,7.844129,,1,0.0,0,0,958.519118354126,PCB概念;换电概念;新型工业化;数据中心;充电桩;物联网;工业互联网;传感器;储能;专精特新;人工智能;农机;汽车电子;机器人概念;新能源汽车;AI智能体;车联网(车路协同);风电;商业航天;智能座舱;卫星导航;无人驾驶;回购增持再贷款概念
001298.SZ,好上好,23.16,1.3566739606126859,涨停, 09:55:38, 09:55:38,"[{""code"":""001298.SZ"",""time"":1777341338695,""openTime"":null,""duration"":12819019,""updatedTime"":1777359600000,""firstVol"":4.411173E7,""highestVol"":4.457332E7,""firstVolDivLTGB"":0.18481904997315307,""firstVolDivVol"":1.8434877202455158,""highestVolDivLTGB"":0.18675301686307344,""highestVolDivVol"":1.8160562124704918}]",1,存储芯片+AI算力+一季报高增,6581120,153537529.6,19.970937217385742,2.7573535342171276,0,5568293209.22,首板涨停,放量涨停,33,001298,,,,,,,,,,,,,1,0.0,0,0,19.970937217385742,
