股票代码,股票简称,最新价,最新涨跌幅,涨停[20260430],首次涨停时间[20260430],最终涨停时间[20260430],涨停明细数据[20260430],连续涨停天数[20260430],涨停原因类别[20260430],涨停封单量[20260430],涨停封单额[20260430],涨停封单量占成交量比[20260430],涨停封单量占流通a股比[20260430],涨停开板次数[20260430],a股市值(不含限售股)[20260430],几天几板[20260430],涨停类型[20260430],market_code,code,所属概念,区间主力资金流向区间增长值[20260424-20260430],区间主力资金流向[20260424-20260430],量比[20260430],所属概念数量,区间主力买入金额[20260424-20260430],区间主力卖出金额[20260424-20260430],换手率[20260430],振幅[20260430],lbc,main,chg5,amt,volr,concepts
000007.SZ,全新好,15.51,10.0,涨停, 13:33:05, 13:33:05,"[{""code"":""000007.SZ"",""time"":1777527185075,""openTime"":null,""duration"":5214925,""updatedTime"":1777532400000,""firstVol"":1.3279952E7,""highestVol"":1.3279952E7,""firstVolDivLTGB"":0.038331727455214036,""firstVolDivVol"":1.329267841031003,""highestVolDivLTGB"":0.038331727455214036,""highestVolDivVol"":1.329267841031003}]",1,汽车销售+医药器械+物业租赁,2615902,40572640.019999996,22.562012496511212,0.7550632902404263,0,5373409162.44,首板涨停,放量涨停,33,000007,粤港澳大湾区;物业管理,11447231.0,20751567.0,1.715675,2.0,77177162.0,56425595.0,3.346613,10.141843,1,11447231.0,0,0,22.562012496511212,粤港澳大湾区;物业管理
000066.SZ,中国长城,19.82,9.988901220865708,涨停, 10:16:57, 10:16:57,"[{""code"":""000066.SZ"",""time"":1777515417586,""openTime"":null,""duration"":11566058,""updatedTime"":1777532400000,""firstVol"":2.496776E8,""highestVol"":2.530442E8,""firstVolDivLTGB"":0.07740621368132772,""firstVolDivVol"":0.6706401024234788,""highestVolDivLTGB"":0.07844994271020159,""highestVolDivVol"":0.6764074602997459}]",1,AI服务器电源+国产算力+信创+CPU+央企,27388551,542841080.82,6.3462327411279755,0.8491126280963699,0,63930397789.16,首板涨停,放量涨停,33,000066,AI PC;中国AI 50;东数西算(算力);国产操作系统;数据安全;网络安全;信创;华为鲲鹏;数据中心;百度概念;量子科技;区块链;智慧城市;液冷服务器;车联网(车路协同);华为概念;智能电网;5G;DeepSeek概念;人工智能;数字经济;芯片概念;消费电子概念;粤港澳大湾区;商业航天;军工;卫星导航;海工装备;汽车电子;军民融合;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券,1323707490.0,3990844370.0,1.3686,37.0,9634730450.0,5643886080.0,13.37979,7.935627,1,1323707490.0,0,0,6.3462327411279755,AI PC;中国AI 50;东数西算(算力);国产操作系统;数据安全;网络安全;信创;华为鲲鹏;数据中心;百度概念;量子科技;区块链;智慧城市;液冷服务器;车联网(车路协同);华为概念;智能电网;5G;DeepSeek概念;人工智能;数字经济;芯片概念;消费电子概念;粤港澳大湾区;商业航天;军工;卫星导航;海工装备;汽车电子;军民融合;锂电池概念;央企国企改革;国企改革;钠离子电池;深股通;中字头股票;融资融券
000402.SZ,金融街,3.17,10.069444444444446,涨停, 09:32:38, 09:34:09,"[{""code"":""000402.SZ"",""time"":1777512758522,""openTime"":1777512773522,""duration"":15000,""updatedTime"":1777512773522,""firstVol"":1807300.0,""highestVol"":1807300.0,""firstVolDivLTGB"":6.047203965565037E-4,""firstVolDivVol"":0.021789639925024733,""highestVolDivLTGB"":6.047203965565037E-4,""highestVolDivVol"":0.021789639925024733},{""code"":""000402.SZ"",""time"":1777512849642,""openTime"":null,""duration"":14134002,""updatedTime"":1777532400000,""firstVol"":5.17136E7,""highestVol"":5.24352E7,""firstVolDivLTGB"":0.017303308083530356,""firstVolDivVol"":0.5367544447330715,""highestVolDivLTGB"":0.01754475457174768,""highestVolDivVol"":0.5400129868328271}]",2,一季度扭亏为盈+房地产+北京国资,12794394,40558228.98,10.441333087201626,0.4280988775178527,1,9474033011.99,2天2板,放量涨停,33,000402,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券,31455341.7,887128.6000000015,4.258956,11.0,174595034.3,173707905.7,4.10004,5.208333,2,31455341.7,0,0,10.441333087201626,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券
000553.SZ,安道麦A,6.82,10.000000000000002,涨停, 09:30:00, 09:30:00,"[{""code"":""000553.SZ"",""time"":1777512600000,""openTime"":null,""duration"":14383644,""updatedTime"":1777532400000,""firstVol"":1.81217E7,""highestVol"":1.81217E7,""firstVolDivLTGB"":0.0083238865433167,""firstVolDivVol"":10.628563049853373,""highestVolDivLTGB"":0.0083238865433167,""highestVolDivVol"":10.628563049853373}]",1,一季报大增+草甘膦+央企,2700713,18418862.66,22.401054330029886,0.12405253700293281,0,14847630774.02,首板涨停,一字涨停||放量涨停,33,000553,,,,,,,,,,1,0.0,0,0,22.401054330029886,
000567.SZ,海德股份,6.67,10.06600660066007,涨停, 09:58:00, 14:30:53,"[{""code"":""000567.SZ"",""time"":1777514280047,""openTime"":1777518927368,""duration"":4647321,""updatedTime"":1777518927368,""firstVol"":4.7418812E7,""highestVol"":4.7418812E7,""firstVolDivLTGB"":0.02433556204339601,""firstVolDivVol"":0.579622445601798,""highestVolDivLTGB"":0.02433556204339601,""highestVolDivVol"":0.579622445601798},{""code"":""000567.SZ"",""time"":1777529866034,""openTime"":1777530127875,""duration"":261841,""updatedTime"":1777530127875,""firstVol"":1.4475649E7,""highestVol"":1.4629649E7,""firstVolDivLTGB"":0.007428972584929446,""firstVolDivVol"":0.10223555654682913,""highestVolDivLTGB"":0.007508006124501946,""highestVolDivVol"":0.10319332092538486},{""code"":""000567.SZ"",""time"":1777530145740,""openTime"":1777530371387,""duration"":225647,""updatedTime"":1777530371387,""firstVol"":2255121.0,""highestVol"":2867416.0,""firstVolDivLTGB"":0.0011573389272355717,""firstVolDivVol"":0.015203458894581096,""highestVolDivLTGB"":0.0014715716617326139,""highestVolDivVol"":0.019185266996152195},{""code"":""000567.SZ"",""time"":1777530515549,""openTime"":1777530539645,""duration"":24096,""updatedTime"":1777530539645,""firstVol"":220305.0,""highestVol"":220305.0,""firstVolDivLTGB"":1.1306158399688204E-4,""firstVolDivVol"":0.0014471170214212469,""highestVolDivLTGB"":1.1306158399688204E-4,""highestVolDivVol"":0.0014471170214212469},{""code"":""000567.SZ"",""time"":1777530578535,""openTime"":1777530603947,""duration"":25412,""updatedTime"":1777530603947,""firstVol"":20800.0,""highestVol"":20800.0,""firstVolDivLTGB"":1.0674659890311824E-5,""firstVolDivVol"":1.3613484889817167E-4,""highestVolDivLTGB"":1.0674659890311824E-5,""highestVolDivVol"":1.3613484889817167E-4},{""code"":""000567.SZ"",""time"":1777530653259,""openTime"":null,""duration"":1746741,""updatedTime"":1777532400000,""firstVol"":3083451.0,""highestVol"":3283451.0,""firstVolDivLTGB"":0.0015824418612231676,""firstVolDivVol"":0.020123834523650793,""highestVolDivLTGB"":0.001685082821706935,""highestVolDivVol"":0.021392061188918596}]",2,一季报大增+困境资管+海南自贸区,1952091,13020446.97,1.2510204922600239,0.10018224759585911,5,12996760686.11,2天2板,放量涨停,33,000567,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通,55015244.0,109230605.8,7.733333,5.0,350558513.0,241327907.2,8.008042,7.920792,2,55015244.0,0,0,1.2510204922600239,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通
000609.SZ,*ST中迪,14.42,5.0254916241806225,涨停, 09:30:00, 09:30:00,"[{""code"":""000609.SZ"",""time"":1777512600000,""openTime"":null,""duration"":14383644,""updatedTime"":1777532400000,""firstVol"":2.09794E7,""highestVol"":2.09794E7,""firstVolDivLTGB"":0.07207972429658346,""firstVolDivVol"":30.631333041319902,""highestVolDivLTGB"":0.07207972429658346,""highestVolDivVol"":30.631333041319902}]",8,半导体资产注入+ST博弈+房地产,7218500,104090770.0,245.80311233697688,2.4800875612976907,0,4197060282.24,11天9板,一字涨停||缩量涨停,33,000609,,,,,,,,,,9,0.0,0,0,245.80311233697688,
000628.SZ,高新发展,66.18,10.00664893617023,涨停, 10:52:06, 10:52:06,"[{""code"":""000628.SZ"",""time"":1777517526527,""openTime"":null,""duration"":9457117,""updatedTime"":1777532400000,""firstVol"":1.5662924E7,""highestVol"":1.5915324E7,""firstVolDivLTGB"":0.08147648402634675,""firstVolDivVol"":0.9779663969540098,""highestVolDivLTGB"":0.08278943584608678,""highestVolDivVol"":0.9877251505140845}]",1,功率半导体+华鲲振宇并购预期+成都国资,1611293,106635370.74000001,8.640842128881511,0.8381735643757469,0,12722349555.3,首板涨停,放量涨停,33,000628,智慧政务;汽车芯片;数据要素;芯片概念;智慧城市;物联网;数字孪生;2025年报预增;新能源汽车;创投;储能;虚拟电厂;新型城镇化;PPP概念;西部大开发;国企改革;融资融券;深股通,75748190.0,125745430.0,1.108865,18.0,928693490.0,802948060.0,9.700137,13.763297,1,75748190.0,0,0,8.640842128881511,智慧政务;汽车芯片;数据要素;芯片概念;智慧城市;物联网;数字孪生;2025年报预增;新能源汽车;创投;储能;虚拟电厂;新型城镇化;PPP概念;西部大开发;国企改革;融资融券;深股通
000783.SZ,长江证券,7.99,10.055096418732788,涨停, 09:37:48, 10:23:38,"[{""code"":""000783.SZ"",""time"":1777513068320,""openTime"":1777515719510,""duration"":2651190,""updatedTime"":1777515719510,""firstVol"":1.298377E8,""highestVol"":1.611889E8,""firstVolDivLTGB"":0.023478478714635573,""firstVolDivVol"":1.1060485040846404,""highestVolDivLTGB"":0.029147698686017406,""highestVolDivVol"":1.3446370820687354},{""code"":""000783.SZ"",""time"":1777515818723,""openTime"":null,""duration"":11164921,""updatedTime"":1777532400000,""firstVol"":8.3932006E7,""highestVol"":8.3932006E7,""firstVolDivLTGB"":0.0151773777288697,""firstVolDivVol"":0.3506637760819012,""highestVolDivLTGB"":0.0151773777288697,""highestVolDivVol"":0.3506637760819012}]",1,一季报大增+湖北国资+证券,10692021,85429247.79,3.6104293103692737,0.19334321808298865,1,44185282854.52,首板涨停,放量涨停,33,000783,,,,,,,,,,1,0.0,0,0,3.6104293103692737,
000790.SZ,华神科技,4.57,10.120481927710841,涨停, 09:49:37, 09:49:37,"[{""code"":""000790.SZ"",""time"":1777513777557,""openTime"":null,""duration"":13206087,""updatedTime"":1777532400000,""firstVol"":7.4058983E7,""highestVol"":7.4058983E7,""firstVolDivLTGB"":0.11894835317823105,""firstVolDivVol"":2.1266740681071123,""highestVolDivLTGB"":0.11894835317823105,""highestVolDivVol"":2.1266740681071123}]",1,一季度扭亏+中药大健康+机构新进,14015732,64051895.24,30.057712726881793,2.2511087412413358,0,2845348785.98,首板涨停,放量涨停,33,000790,流感;医药电商;合成生物;创新药;医美概念;眼科医疗;装配式建筑;医疗器械概念;西部大开发;氟化工概念;锂电池概念;融资融券,5860071.6,39206497.6,2.79225,12.0,91233637.2,52027139.6,7.489288,7.710843,1,5860071.6,0,0,30.057712726881793,流感;医药电商;合成生物;创新药;医美概念;眼科医疗;装配式建筑;医疗器械概念;西部大开发;氟化工概念;锂电池概念;融资融券
000833.SZ,粤桂股份,31.72,9.986130374479885,涨停, 13:41:43, 13:41:43,"[{""code"":""000833.SZ"",""time"":1777527703438,""openTime"":null,""duration"":4696562,""updatedTime"":1777532400000,""firstVol"":2.9545671E7,""highestVol"":3.1685571E7,""firstVolDivLTGB"":0.06512131158083037,""firstVolDivVol"":0.4918315452373618,""highestVolDivLTGB"":0.06983784330731642,""highestVolDivVol"":0.5256368555953023}]",1,硫铁矿涨价+新能源材料+广东国资,3332451,105705345.72,5.11236279547341,0.7345021201205745,0,14391428264.72,首板涨停,放量涨停,33,000833,化肥;磷化工;土地流转;锂电池概念;农业种植;西部大开发;2026一季报预增;广东自贸区;国企改革;TOPCON电池;乡村振兴;光伏概念;粤港澳大湾区;2025年报预增;融资融券;深股通,136673993.0,478009211.0,1.291146,16.0,1492821043.0,1014811832.0,14.367175,9.674063,1,136673993.0,0,0,5.11236279547341,化肥;磷化工;土地流转;锂电池概念;农业种植;西部大开发;2026一季报预增;广东自贸区;国企改革;TOPCON电池;乡村振兴;光伏概念;粤港澳大湾区;2025年报预增;融资融券;深股通
