bucket,code,name,fl,p_buy,p_sell,ret_pct,date_d,date_d1
gold,000692.SZ,惠天热电,4.0,4.96,5.16,4.032258064516133,20260429,20260430
gold,002786.SZ,银宝山新,3.7,7.77,7.88,1.4157014157014198,20260429,20260430
gold,000567.SZ,海德股份,3.41,6.06,6.26,3.3003300330033034,20260429,20260430
gold,002520.SZ,日发精机,3.38,5.75,5.95,3.4782608695652204,20260429,20260430
gold,603933.SH,睿能科技,3.31,23.27,24.2,3.9965620971207554,20260429,20260430
gold,600156.SH,华升股份,3.29,11.17,11.82,5.819158460161149,20260429,20260430
gold,002652.SZ,扬子新材,3.21,6.18,6.41,3.721682847896447,20260429,20260430
gold,603013.SH,亚普股份,3.19,20.03,20.6,2.845731402895658,20260429,20260430
soft,001336.SZ,楚环科技,4.98,29.07,28.29,-2.6831785345717276,20260429,20260430
soft,300982.SZ,苏文电能,3.69,23.77,23.38,-1.640723601177958,20260429,20260430
soft,002903.SZ,宇环数控,3.59,36.64,38.6,5.349344978165941,20260429,20260430
soft,002627.SZ,三峡旅游,3.3,7.56,7.57,0.1322751322751412,20260429,20260430
soft,605158.SH,华达新材,3.26,7.83,7.83,0.0,20260429,20260430
bait,603937.SH,丽岛新材,6.7,13.86,14.14,2.0202020202020283,20260429,20260430
